Panel last date: 2026-07-09
Code       Name        C63      C21      C5    Price
588000     KC50      73.5%    32.6%    9.9%  2.328 <=
159915     CYB       27.0%    -2.5%   -4.2%  4.040
513100     NSDQ      26.2%    -4.7%   -0.4%  2.166
513500     SP500     16.2%    -3.3%    1.3%  2.515
510500     ZZ500     15.4%     6.5%   -0.5%  8.804
510300     HS300     10.6%     1.9%    1.4%  4.916
512100     ZZ1000    10.1%     0.4%   -3.9%  3.354
510050     SH50       6.6%     3.1%    2.8%  3.089
515080     ZSHL      -8.4%    -5.9%   -1.8%  1.461
518880     GOLD     -13.1%    -5.1%    0.8%  8.544
162411     OIL      -14.9%    -3.0%    4.7%  0.849
