因子,参数,TopK,年化收益%,Sharpe,最大回撤%,Calmar,胜率%,交易次数,平均持仓天数
低波动12m,12m,5,11.7,5.888,-4.9,2.41,73.9,46,219.4
低波动6m,6m,10,9.4,5.528,-4.5,2.09,63.2,117,172.7
低波动12m,12m,10,7.1,5.518,-4.5,1.57,63.3,90,224.4
低波动6m,6m,5,9.9,5.378,-6.2,1.59,72.3,65,155.4
低波动3m,3m,5,10.1,4.94,-6.2,1.63,68.2,110,91.9
Multi_动量+低波,动量+低波,5,11.0,4.735,-9.6,1.14,54.5,101,100.0
Multi_动量+低波,动量+低波,10,7.2,4.358,-9.6,0.75,49.2,179,112.9
低波动3m,3m,20,7.7,4.259,-7.8,0.99,58.4,346,116.9
低波动12m,12m,20,5.4,4.088,-6.6,0.82,56.1,157,257.3
低波动3m,3m,10,8.5,4.04,-5.2,1.63,62.4,197,102.5
Multi_动量+低波,动量+低波,20,5.7,3.929,-8.3,0.68,51.7,321,125.9
低波动6m,6m,20,5.9,3.542,-8.3,0.71,55.3,237,170.5
Multi_低波+量能趋势,低波+量能趋势,5,4.2,3.112,-9.4,0.45,58.7,104,97.0
Multi_动量+低波+量能,动量+低波+量能,5,6.1,2.742,-14.0,0.43,52.5,122,82.6
Multi_动量+低波+均线,动量+低波+均线,20,4.2,2.074,-13.9,0.3,44.9,419,96.4
Multi_动量+低波+量能,动量+低波+量能,10,3.2,1.83,-13.9,0.23,51.9,210,96.1
Multi_低波+量能趋势,低波+量能趋势,20,1.9,1.562,-9.6,0.2,50.5,299,135.0
Multi_低波+量能趋势,低波+量能趋势,10,1.7,1.467,-8.6,0.19,48.5,167,120.9
Multi_动量+低波+均线,动量+低波+均线,10,2.1,1.212,-12.6,0.17,42.6,265,76.2
短期反转1m,1m,10,3.4,1.11,-26.7,0.13,52.0,608,33.3
Multi_动量+低波+均线,动量+低波+均线,5,2.1,1.033,-16.5,0.13,48.5,169,59.8
Multi_动量+低波+量能,动量+低波+量能,20,1.4,0.945,-13.1,0.1,47.9,338,119.4
动量6-1m,6m,20,1.9,0.877,-18.7,0.1,47.2,489,82.6
动量简单12m,12m,20,1.5,0.814,-18.9,0.08,45.3,382,105.8
