entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512950,long,169011,1.183,1.178,-964.77
2021-01-04,2021-02-01,512800,long,349545,0.572,0.6062,11830.89
2021-02-01,2021-03-01,510170,long,132991,0.6177,0.6613,5747.38
2021-02-01,2021-03-01,510810,long,90973,0.903,0.91,587.33
2021-01-04,2021-04-01,510230,long,170597,1.172,1.167,-972.69
2021-03-01,2021-04-01,512950,long,70511,1.183,1.159,-1741.81
2021-01-04,2021-05-06,518800,long,51905,3.852,3.623,-12002.64
2021-04-01,2021-05-06,515080,long,80928,1.312,1.359,3738.77
2021-01-04,2021-06-01,513660,long,154322,1.2956,1.3593,9707.4
2021-04-01,2021-06-01,513600,long,39398,2.695,2.671,-1008.97
2021-03-01,2021-07-01,159981,long,76039,1.097,1.265,12720.67
2021-05-06,2021-08-02,513000,long,95195,1.295,1.202,-8924.45
2021-05-06,2021-09-01,510880,long,44698,2.758,3.133,16682.76
2021-08-02,2021-10-08,512890,long,149523,0.6954,0.8176,18203.84
2021-06-01,2021-11-01,515080,long,95023,1.441,1.409,-3121.98
2021-07-01,2021-11-01,518880,long,28084,3.61,3.594,-510.04
2021-10-08,2021-12-01,510160,long,149770,0.757,0.724,-5008.95
2021-06-01,2022-01-04,515450,long,114489,1.196,1.241,5068.3
2021-12-01,2022-03-01,510810,long,122510,0.851,0.864,1529.6
2021-11-01,2022-04-01,515100,long,99448,1.384,1.577,19105.12
2022-04-01,2022-05-05,512040,long,127748,0.938,0.8652,-9369.16
2021-11-01,2022-06-01,518890,long,37554,3.665,3.921,9528.36
2022-03-01,2022-06-01,518860,long,28968,3.818,3.9,2308.3
2021-09-01,2022-07-01,511380,long,9970,11.15,11.633,4747.37
2022-06-01,2022-07-01,515100,long,96111,1.523,1.538,1353.41
2022-07-01,2022-08-01,512040,long,153360,0.9165,0.8871,-4591.76
2022-08-01,2022-09-01,515100,long,73809,1.511,1.52,597.17
2022-01-04,2022-10-10,513500,long,76016,1.4708,1.21,-19886.11
2022-05-05,2022-10-10,512890,long,141602,0.833,0.835,212.35
2022-06-01,2022-10-10,512750,long,138746,1.055,1.021,-4803.78
2022-10-10,2022-11-01,516600,long,269224,0.593,0.567,-7093.51
2022-10-10,2022-11-01,515100,long,109649,1.456,1.422,-3822.74
2022-09-01,2023-01-03,511380,long,9666,11.55,10.957,-5797.2
2023-01-03,2023-02-01,560500,long,107933,0.894,0.961,7171.45
2022-07-01,2023-04-03,513800,long,143863,0.977,1.117,20050.45
2022-10-10,2023-04-03,510160,long,240436,0.664,0.736,17210.41
2022-11-01,2023-04-03,510130,long,25072,5.007,5.55,13534.69
2023-04-03,2023-05-04,518660,long,40656,4.271,4.391,4773.07
2023-05-04,2023-06-01,513000,long,92068,1.142,1.215,6655.86
2022-11-01,2023-07-03,515300,long,117765,1.066,1.333,31358.5
2023-04-03,2023-07-03,518860,long,40819,4.254,4.357,4098.91
2023-06-01,2023-08-01,510810,long,131936,0.807,0.869,8113.69
2023-04-03,2023-09-01,511380,long,15391,11.282,11.362,1126.73
2023-07-03,2023-09-01,512890,long,166780,0.912,0.932,3243.34
2023-02-01,2023-10-09,512950,long,79485,1.232,1.235,179.63
2023-09-01,2023-10-09,515800,long,146797,1.072,0.938,-19759.32
2023-09-01,2023-11-01,510130,long,29141,5.4,5.111,-8513.64
2023-07-03,2024-01-02,515100,long,88638,1.716,1.275,-39168.89
2023-08-01,2024-01-02,515300,long,80013,1.427,1.268,-12786.76
2023-11-01,2024-01-02,562530,long,110086,1.042,1.016,-2930.2
2023-10-09,2024-02-01,518860,long,32320,4.38,4.71,10577.46
2024-01-02,2024-02-01,518660,long,33790,4.646,4.646,-94.19
2023-10-09,2024-03-01,515080,long,94565,1.497,1.51,1144.04
2024-02-01,2024-03-01,511380,long,11815,10.546,10.83,3279.69
2024-01-02,2024-05-06,510130,long,32052,4.898,5.231,10575.92
2024-01-02,2024-05-06,512890,long,171951,0.913,1.042,22080.83
2024-03-01,2024-05-06,513800,long,92123,1.399,1.388,-1090.38
2024-02-01,2024-06-03,512390,long,116561,1.069,1.208,16122.36
2024-03-01,2024-06-03,159687,long,111392,1.157,1.218,6715.55
2024-05-06,2024-06-03,513030,long,127564,1.35,1.401,6400.49
2024-06-03,2024-07-01,515300,long,109575,1.459,1.383,-8421.12
2024-05-06,2024-08-01,518860,long,32566,5.288,5.488,6407.92
2024-06-03,2024-08-01,518660,long,30164,5.3,5.471,5060.58
2024-06-03,2024-09-02,159980,long,88620,1.804,1.638,-14802.43
2024-07-01,2024-10-08,518880,long,17791,5.297,5.682,6790.94
2024-08-01,2024-10-08,515300,long,103818,1.388,1.611,23058.01
2024-10-08,2024-11-01,159985,long,74803,1.952,1.905,-3602.3
2024-11-01,2025-01-02,159981,long,80064,1.45,1.458,570.66
2024-09-02,2025-02-05,518860,long,20927,5.518,6.386,18089.9
2024-08-01,2025-03-03,511380,long,13419,10.738,12.051,17527.41
2024-05-06,2025-04-01,513650,long,129385,1.331,1.459,16452.98
2025-02-05,2025-04-01,513730,long,91079,1.314,1.138,-16096.9
2025-03-03,2025-05-06,515300,long,96073,1.333,1.352,1748.0
2025-04-01,2025-05-06,515450,long,113791,1.414,1.406,-1006.6
2025-04-01,2025-06-03,511380,long,13442,11.97,12.007,400.66
2025-05-06,2025-08-01,518880,long,20337,7.596,7.343,-5236.41
2025-06-03,2025-08-01,515300,long,89635,1.394,1.379,-1419.09
2024-10-08,2025-09-01,518890,long,25434,5.741,7.552,45959.55
2025-01-02,2025-09-01,518660,long,19517,5.954,7.534,30757.89
2025-05-06,2025-09-01,518860,long,20273,7.62,7.553,-1450.57
2025-09-01,2025-10-09,515300,long,139285,1.372,1.298,-10418.66
2025-08-01,2025-11-03,515450,long,108053,1.43,1.446,1635.62
2025-08-01,2025-11-03,159981,long,114118,1.354,1.235,-13668.68
2025-09-01,2025-12-01,513690,long,176616,1.082,1.123,7124.42
2025-09-01,2026-01-05,511380,long,14400,13.27,13.68,5787.58
2025-11-03,2026-01-05,510810,long,159854,0.935,0.934,-249.48
2025-12-01,2026-01-05,159666,long,129451,0.999,1.023,3028.3
2025-10-09,2026-02-02,512800,long,145075,0.776,0.774,-357.61
2025-11-03,2026-02-02,159980,long,82485,1.812,2.04,18711.26
2026-02-02,2026-03-02,512890,long,116511,1.165,1.17,500.94
2026-01-05,2026-04-01,159525,long,181868,1.095,1.122,4789.48
2026-02-02,2026-05-06,159758,long,122065,1.112,1.148,4311.58
2026-04-01,2026-05-06,159666,long,124622,1.025,1.008,-2194.58
2026-01-05,2026-06-01,159625,long,170209,1.17,1.422,42760.31
2026-03-02,2026-06-01,512390,long,87021,1.249,1.264,1239.71
2026-05-06,2026-06-01,560810,long,126062,1.232,1.257,3057.42
2026-01-05,2026-07-01,562060,long,323813,0.615,0.569,-15010.42
2026-06-01,2026-07-01,159985,long,94264,2.071,1.982,-8504.11
2026-05-06,2026-07-13,513530,long,92999,1.67,1.492,-16642.04
2026-06-01,2026-07-13,512040,long,161741,1.207,1.141,-10788.84
2026-06-01,2026-07-13,159666,long,196598,0.993,0.916,-15250.64
2026-07-01,2026-07-13,510300,long,30397,5.009,4.719,-8903.84
2026-07-01,2026-07-13,510130,long,20066,7.588,7.25,-6871.63
2026-07-01,2026-07-13,562530,long,131827,1.155,1.177,2807.97
