entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512390,long,34259,1.459,1.471,380.99
2021-01-04,2021-02-01,510500,long,7077,7.063,7.022,-320.06
2021-01-04,2021-02-01,159902,long,10662,4.688,4.921,2453.51
2021-01-04,2021-03-01,159949,long,40116,1.246,1.258,451.26
2021-01-04,2021-03-01,512710,long,52782,0.947,0.8457,-5375.2
2021-01-04,2021-03-01,159915,long,17452,2.864,2.85,-274.24
2021-01-04,2021-03-01,510660,long,15398,3.246,3.228,-307.07
2021-01-04,2021-04-01,512950,long,42252,1.183,1.159,-1043.73
2021-01-04,2021-04-01,159928,long,37470,1.334,1.2388,-3596.06
2021-01-04,2021-04-01,159901,long,12937,3.8636,3.6643,-2607.56
2021-01-04,2021-04-01,513050,long,24100,2.074,2.062,-319.1
2021-01-04,2021-04-01,159985,long,39265,1.273,1.275,48.52
2021-01-04,2021-04-01,512010,long,64091,0.7799,0.7531,-1747.11
2021-01-04,2021-05-06,512910,long,33146,1.508,1.483,-858.39
2021-01-04,2021-05-06,159905,long,18216,2.744,2.763,316.01
2021-01-04,2021-05-06,510050,long,14770,3.384,3.21,-2599.2
2021-01-04,2021-05-06,510300,long,10437,4.789,4.69,-1062.94
2021-02-01,2021-05-06,512800,long,12577,0.6062,0.6188,153.85
2021-03-01,2021-05-06,512390,long,10737,1.509,1.485,-267.33
2021-04-01,2021-05-06,515300,long,23600,1.165,1.119,-1101.77
2021-04-01,2021-05-06,512750,long,23763,1.157,1.117,-966.73
2021-02-01,2021-06-01,513660,long,5665,1.3458,1.3593,71.88
2021-03-01,2021-06-01,513600,long,5950,2.723,2.671,-319.03
2021-04-01,2021-06-01,513000,long,21230,1.295,1.241,-1162.57
2021-05-06,2021-06-01,510500,long,4560,7.206,7.473,1197.44
2021-05-06,2021-06-01,510660,long,9680,3.395,3.586,1828.61
2021-05-06,2021-06-01,159996,long,23030,1.427,1.432,95.4
2021-05-06,2021-06-01,513520,long,25695,1.279,1.232,-1227.02
2021-01-04,2021-07-01,512400,long,48388,1.033,1.131,4710.61
2021-05-06,2021-07-01,512010,long,39971,0.8222,0.834,451.8
2021-06-01,2021-07-01,512040,long,34171,0.8452,0.8328,-440.92
2021-01-04,2021-08-02,512690,long,35612,1.4036,1.099,-10874.15
2021-02-01,2021-08-02,512770,long,3317,2.298,2.364,214.28
2021-06-01,2021-08-02,512170,long,32162,0.898,0.813,-2750.28
2021-06-01,2021-08-02,159915,long,9082,3.18,3.328,1326.4
2021-03-01,2021-09-01,159980,long,12311,1.316,1.422,1294.85
2021-05-06,2021-09-01,159949,long,24803,1.325,1.412,2137.5
2021-05-06,2021-09-01,159901,long,8347,3.937,3.725,-1788.75
2021-07-01,2021-09-01,510660,long,6337,3.881,3.128,-4785.09
2021-07-01,2021-09-01,515030,long,11569,2.126,2.49,4195.1
2021-08-02,2021-09-01,512400,long,17893,1.457,1.676,3901.75
2021-07-01,2021-10-08,515700,long,8999,2.733,3.099,3277.89
2021-08-02,2021-10-08,512480,long,17051,1.529,1.269,-4447.57
2021-08-02,2021-10-08,512710,long,29032,0.898,0.892,-189.78
2021-09-01,2021-10-08,512660,long,20792,1.393,1.25,-2989.74
2021-06-01,2021-11-01,515210,long,18645,1.549,1.672,2275.32
2021-06-01,2021-11-01,510880,long,10259,2.815,2.838,218.56
2021-09-01,2021-11-01,512190,long,16100,1.799,1.672,-2061.46
2021-10-08,2021-11-01,515590,long,16009,1.583,1.542,-671.38
2021-03-01,2021-12-01,159981,long,14769,1.097,1.397,4419.65
2021-05-06,2021-12-01,515220,long,44841,0.7329,0.9181,8282.34
2021-09-01,2021-12-01,510130,long,4671,6.2,6.021,-853.23
2021-11-01,2021-12-01,512710,long,27963,0.925,1.025,2779.94
2021-01-04,2022-01-04,510170,long,82674,0.6046,0.8507,20309.98
2021-06-01,2022-01-04,512580,long,21158,1.365,1.829,9797.04
2021-09-01,2022-01-04,510160,long,38618,0.75,0.759,330.08
2021-12-01,2022-01-04,512390,long,18132,1.468,1.355,-2064.27
2021-06-01,2022-02-07,512100,long,11129,2.595,2.723,1406.76
2021-10-08,2022-02-07,510500,long,3149,8.048,7.45,-1897.74
