entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,510500,long,7077,7.063,7.022,-320.06
2021-01-04,2021-02-01,513520,long,39389,1.269,1.26,-384.39
2021-01-04,2021-02-01,512480,long,46342,1.0786,1.0475,-1470.79
2021-01-04,2021-03-01,159902,long,10662,4.688,4.82,1376.97
2021-02-01,2021-03-01,515000,long,8029,0.9204,0.8852,-286.97
2021-02-01,2021-03-01,515800,long,5564,1.328,1.33,6.69
2021-01-04,2021-04-01,159949,long,40116,1.246,1.168,-3158.1
2021-01-04,2021-04-01,512710,long,52782,0.947,0.746,-10635.99
2021-01-04,2021-04-01,159915,long,17452,2.864,2.665,-3501.9
2021-01-04,2021-04-01,159901,long,12937,3.8636,3.6643,-2607.56
2021-01-04,2021-04-01,510300,long,10437,4.789,4.637,-1615.94
2021-01-04,2021-04-01,513050,long,24100,2.074,2.062,-319.1
2021-01-04,2021-04-01,510050,long,14770,3.384,3.286,-1477.01
2021-02-01,2021-04-01,159985,long,5805,1.273,1.275,7.17
2021-03-01,2021-04-01,513000,long,7258,1.319,1.295,-179.88
2021-01-04,2021-05-06,159905,long,18216,2.744,2.763,316.01
2021-01-04,2021-05-06,512910,long,33146,1.508,1.483,-858.39
2021-01-04,2021-05-06,512390,long,34259,1.459,1.485,860.48
2021-04-01,2021-05-06,512190,long,16401,1.543,1.526,-293.92
2021-04-01,2021-05-06,510130,long,4599,5.502,5.561,256.08
2021-04-01,2021-05-06,515150,long,21088,1.2,1.19,-226.0
2021-04-01,2021-05-06,515080,long,19288,1.312,1.359,891.08
2021-04-01,2021-05-06,512890,long,36491,0.6935,0.7023,305.84
2021-04-01,2021-05-06,513520,long,19632,1.289,1.279,-211.44
2021-04-01,2021-05-06,512800,long,39922,0.6339,0.6188,-617.83
2021-05-06,2021-06-01,513030,long,24411,1.241,1.241,-18.18
2021-05-06,2021-06-01,159941,long,44226,0.685,0.674,-504.52
2021-05-06,2021-06-01,513500,long,23212,1.3051,1.2878,-419.62
2021-05-06,2021-06-01,512290,long,14749,2.054,2.087,468.39
2021-05-06,2021-06-01,159996,long,21229,1.427,1.432,87.94
2021-01-04,2021-07-01,159928,long,37470,1.334,1.264,-2652.1
2021-01-04,2021-07-01,512010,long,64091,0.7799,0.834,3436.29
2021-01-04,2021-08-02,512690,long,35612,1.4036,1.099,-10874.15
2021-05-06,2021-08-02,159901,long,7694,3.937,3.83,-841.19
2021-06-01,2021-08-02,512170,long,25280,0.898,0.813,-2161.78
2021-06-01,2021-08-02,515080,long,15754,1.441,1.365,-1210.57
2021-07-01,2021-08-02,512870,long,11037,1.999,1.905,-1050.4
