entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,510160,long,72442,0.69,0.69,-29.99
2021-01-04,2021-03-01,159915,long,17452,2.864,2.85,-274.24
2021-01-04,2021-03-01,512710,long,52782,0.947,0.8457,-5375.2
2021-01-04,2021-03-01,512400,long,48388,1.033,1.146,5436.21
2021-01-04,2021-03-01,159902,long,10662,4.688,4.82,1376.97
2021-01-04,2021-04-01,512690,long,35612,1.4036,1.2408,-5825.89
2021-01-04,2021-04-01,159949,long,40116,1.246,1.168,-3158.1
2021-01-04,2021-04-01,159928,long,37470,1.334,1.2388,-3596.06
2021-01-04,2021-04-01,159901,long,12937,3.8636,3.6643,-2607.56
2021-01-04,2021-04-01,510660,long,15398,3.246,3.103,-2231.24
2021-01-04,2021-04-01,510300,long,10437,4.789,4.637,-1615.94
2021-01-04,2021-04-01,513050,long,24100,2.074,2.062,-319.1
2021-01-04,2021-04-01,510050,long,14770,3.384,3.286,-1477.01
2021-01-04,2021-04-01,512010,long,64091,0.7799,0.7531,-1747.11
2021-03-01,2021-04-01,512770,long,5657,2.197,1.994,-1155.48
2021-03-01,2021-04-01,512870,long,6611,1.88,1.763,-780.71
2021-01-04,2021-05-06,512910,long,33146,1.508,1.483,-858.39
2021-01-04,2021-05-06,159905,long,18216,2.744,2.763,316.01
2021-01-04,2021-05-06,159985,long,39265,1.273,1.301,1069.1
2021-02-01,2021-05-06,515800,long,1881,1.328,1.298,-57.91
2021-03-01,2021-05-06,512950,long,10506,1.183,1.145,-406.57
2021-04-01,2021-05-06,515150,long,28467,1.2,1.19,-305.08
2021-04-01,2021-05-06,510130,long,6208,5.502,5.561,345.67
2021-04-01,2021-05-06,515300,long,29323,1.165,1.119,-1368.95
2021-04-01,2021-05-06,512750,long,29525,1.157,1.117,-1201.14
2021-04-01,2021-05-06,510160,long,48732,0.701,0.707,271.81
2021-04-01,2021-05-06,512190,long,22139,1.543,1.526,-396.75
2021-01-04,2021-06-01,513520,long,39389,1.269,1.232,-1486.95
2021-01-04,2021-06-01,513000,long,38989,1.282,1.241,-1628.06
2021-04-01,2021-06-01,513800,long,28396,1.203,1.153,-1439.87
2021-05-06,2021-06-01,513500,long,25849,1.3051,1.2878,-467.29
2021-05-06,2021-06-01,510500,long,4681,7.206,7.473,1229.21
2021-05-06,2021-06-01,512010,long,41030,0.8222,0.8595,1509.72
2021-05-06,2021-06-01,159996,long,23640,1.427,1.432,97.92
2021-05-06,2021-06-01,515450,long,28833,1.17,1.196,729.19
2021-05-06,2021-06-01,159928,long,25726,1.3113,1.3667,1404.55
2021-01-04,2021-07-01,510170,long,82674,0.6046,0.6855,6656.33
2021-05-06,2021-07-01,512690,long,24451,1.3797,1.427,1135.94
2021-06-01,2021-07-01,159901,long,7403,4.095,4.13,240.84
2021-06-01,2021-07-01,515210,long,19573,1.549,1.565,294.88
2021-04-01,2021-08-02,512890,long,49259,0.6935,0.6954,73.07
2021-05-06,2021-08-02,513030,long,27184,1.241,1.229,-346.35
2021-05-06,2021-08-02,510660,long,9936,3.395,3.485,873.73
2021-06-01,2021-08-02,512170,long,33762,0.898,0.813,-2887.1
2021-06-01,2021-08-02,515590,long,20695,1.465,1.47,85.25
2021-06-01,2021-08-02,512190,long,18308,1.656,1.584,-1335.97
2021-07-01,2021-08-02,512870,long,12161,1.999,1.905,-1157.38
2021-07-01,2021-08-02,513500,long,18242,1.3326,1.3697,661.99
2021-05-06,2021-09-01,159949,long,25460,1.325,1.412,2194.11
2021-05-06,2021-09-01,512770,long,15432,2.186,2.306,1831.04
2021-06-01,2021-09-01,159915,long,9534,3.18,3.11,-685.37
2021-07-01,2021-09-01,515580,long,26033,0.9338,0.939,120.75
2021-08-02,2021-09-01,159995,long,17088,1.832,1.646,-3196.2
2021-08-02,2021-09-01,510130,long,5505,5.686,6.2,2809.94
2021-05-06,2021-10-08,515030,long,20620,1.636,2.44,16553.27
2021-06-01,2021-10-08,515700,long,12680,2.391,3.099,8956.56
2021-07-01,2021-10-08,515220,long,30034,0.8094,1.1808,11136.7
2021-08-02,2021-10-08,512400,long,21487,1.457,1.407,-1092.81
2021-08-02,2021-10-08,515210,long,17767,1.762,1.913,2663.23
2021-09-01,2021-10-08,512100,long,9391,3.0,2.885,-1096.54
2021-09-01,2021-10-08,510160,long,37564,0.75,0.757,245.97
2021-04-01,2021-11-01,515080,long,26037,1.312,1.409,2504.33
2021-10-08,2021-11-01,512190,long,18146,1.761,1.672,-1633.68
2021-10-08,2021-11-01,159941,long,42550,0.751,0.786,1469.63
2021-10-08,2021-11-01,513100,long,32967,0.9693,1.0152,1493.56
2021-04-01,2021-12-01,159981,long,31055,1.1,1.397,9200.07
2021-08-02,2021-12-01,510170,long,40245,0.7779,0.8664,3541.83
2021-08-02,2021-12-01,515150,long,25577,1.224,1.25,646.02
2021-10-08,2021-12-01,515450,long,24562,1.301,1.145,-3849.7
2021-10-08,2021-12-01,512890,long,39084,0.8176,0.749,-2699.53
2021-11-01,2021-12-01,510160,long,36963,0.743,0.724,-718.56
2021-06-01,2022-01-04,512580,long,22211,1.365,1.829,10284.62
2021-10-08,2022-01-04,510130,long,5233,6.106,6.065,-233.66
2021-11-01,2022-01-04,515030,long,10403,2.64,2.41,-2408.45
2021-12-01,2022-01-04,515700,long,9251,3.425,3.108,-2950.7
2021-12-01,2022-01-04,515760,long,27174,1.166,1.204,1013.29
2021-12-01,2022-01-04,159949,long,20350,1.557,1.473,-1727.9
2021-11-01,2022-02-07,510500,long,3491,7.867,7.45,-1471.79
2021-12-01,2022-02-07,159941,long,39360,0.805,0.718,-3442.3
2021-12-01,2022-02-07,512100,long,10155,3.12,2.723,-4049.34
2022-01-04,2022-02-07,513300,long,23737,1.332,1.175,-3744.56
2022-01-04,2022-02-07,159804,long,21064,1.501,1.309,-4062.04
2022-01-04,2022-02-07,512710,long,30816,1.026,0.862,-5071.28
2022-01-04,2022-02-07,512660,long,21715,1.456,1.212,-5315.84
2021-08-02,2022-03-01,513080,long,24137,1.297,1.177,-2914.35
2021-09-01,2022-03-01,513500,long,19976,1.4103,1.3183,-1854.14
2021-09-01,2022-03-01,512950,long,21214,1.328,1.283,-971.25
2021-12-01,2022-03-01,513100,long,30533,1.0377,0.914,-3794.81
2021-08-02,2022-04-01,515900,long,27128,1.154,1.187,876.17
2022-02-07,2022-04-01,159981,long,19363,1.72,1.703,-349.05
2022-02-07,2022-04-01,515760,long,29087,1.145,1.083,-1822.84
2022-03-01,2022-04-01,510500,long,3521,7.706,7.055,-2307.76
2021-09-01,2022-05-05,515590,long,17730,1.589,1.301,-5121.61
2021-10-08,2022-05-05,512260,long,19203,1.664,1.369,-5682.36
2022-02-07,2022-05-05,512190,long,19119,1.742,1.612,-2504.71
2022-05-05,2022-06-01,513100,long,27484,0.915,0.87,-1251.5
2022-05-05,2022-06-01,159941,long,36289,0.693,0.653,-1466.21
2022-05-05,2022-06-01,513300,long,22196,1.133,1.072,-1368.64
2021-03-01,2022-07-01,159980,long,9444,1.316,1.408,861.13
2021-06-01,2022-07-01,512040,long,35872,0.8452,0.9165,2538.71
2022-02-07,2022-07-01,515450,long,27099,1.229,1.205,-670.16
2022-02-07,2022-07-01,515080,long,23570,1.413,1.437,545.53
2022-02-07,2022-07-01,510160,long,45129,0.738,0.728,-471.14
2022-04-01,2022-07-01,513500,long,19360,1.365,1.196,-3286.71
2022-06-01,2022-07-01,512750,long,23643,1.055,1.099,1025.01
2022-06-01,2022-07-01,513080,long,20769,1.201,1.083,-2464.97
2022-06-01,2022-07-01,515900,long,21014,1.187,1.227,825.34
2022-03-01,2022-08-01,518890,long,7065,3.841,3.806,-263.48
2022-03-01,2022-08-01,518660,long,7106,3.819,3.775,-328.85
2022-04-01,2022-08-01,518860,long,6818,3.876,3.75,-874.67
2022-07-01,2022-08-01,510170,long,36831,0.9053,0.905,-31.05
2022-07-01,2022-08-01,515220,long,27297,1.2215,1.1773,-1226.17
2022-07-01,2022-08-01,515700,long,11026,3.024,2.879,-1618.3
2022-07-01,2022-08-01,515030,long,14243,2.341,2.228,-1628.98
2022-07-01,2022-09-01,512580,long,19053,1.75,1.605,-2781.86
2022-07-01,2022-09-01,515790,long,19671,1.695,1.605,-1789.86
2022-07-01,2022-09-01,516160,long,7831,4.2576,3.8013,-3592.22
2022-07-01,2022-09-01,516150,long,24005,1.389,1.274,-2779.75
2022-08-01,2022-09-01,515590,long,20867,1.45,1.438,-268.48
2022-08-01,2022-09-01,512950,long,25068,1.207,1.175,-820.09
2022-08-01,2022-09-01,512100,long,10990,2.753,2.611,-1578.27
2022-08-01,2022-09-01,515900,long,25130,1.204,1.176,-721.58
2022-08-01,2022-09-01,510500,long,4212,7.183,6.15,-4367.84
2022-08-01,2022-09-01,515150,long,25447,1.189,1.217,694.15
2022-07-01,2022-10-10,512190,long,18891,1.765,1.599,-3154.97
2022-08-01,2022-10-10,512260,long,20724,1.46,1.355,-2193.52
2022-09-01,2022-10-10,513500,long,25701,1.284,1.21,-1921.1
2022-09-01,2022-10-10,513520,long,31822,1.037,0.974,-2023.98
2022-09-01,2022-10-10,513800,long,32835,1.005,0.975,-1004.55
2022-09-01,2022-10-10,159865,long,37714,0.875,0.811,-2432.77
2022-09-01,2022-10-10,510170,long,36504,0.904,0.86,-1625.49
2022-09-01,2022-10-10,513000,long,32038,1.03,0.979,-1653.25
2022-09-01,2022-11-01,510160,long,46875,0.704,0.63,-3487.51
2022-10-10,2022-11-01,512750,long,28188,1.021,0.926,-2694.32
2022-10-10,2022-11-01,159928,long,27646,1.041,0.855,-5157.88
2022-10-10,2022-11-01,512800,long,55060,0.5227,0.4754,-2620.82
2022-10-10,2022-11-01,512040,long,34683,0.8298,0.8003,-1040.11
2022-10-10,2022-11-01,515760,long,29307,0.982,0.972,-310.25
2022-10-10,2022-11-01,510810,long,38373,0.75,0.726,-937.94
2022-11-01,2022-12-01,512190,long,16608,1.61,1.735,2059.33
2022-11-01,2022-12-01,510130,long,5340,5.007,5.316,1633.52
2022-11-01,2022-12-01,512260,long,19348,1.382,1.466,1608.7
