entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,510500,long,28308,7.063,7.022,-1280.24
2021-02-01,2021-03-01,518800,long,10612,3.744,3.542,-2166.82
2021-01-04,2021-05-06,512690,long,142448,1.4036,1.3797,-3523.45
2021-01-04,2021-05-06,513050,long,96403,2.074,2.004,-6866.15
2021-01-04,2021-05-06,512910,long,132586,1.508,1.483,-3433.62
2021-03-01,2021-06-01,512770,long,17887,2.197,2.303,1871.87
2021-05-06,2021-06-01,510500,long,20627,7.206,7.473,5416.57
2021-05-06,2021-07-01,513000,long,114779,1.295,1.244,-5941.16
2021-05-06,2021-08-02,159980,long,107944,1.377,1.415,4011.46
2021-01-04,2021-09-01,510170,long,330698,0.6046,0.988,126631.61
2021-08-02,2021-09-01,512890,long,144726,0.6954,0.7785,11962.74
2021-06-01,2021-10-08,159981,long,79757,1.235,1.85,48976.74
2021-09-01,2021-11-01,513080,long,129393,1.301,1.29,-1523.9
2021-09-01,2021-11-01,510130,long,27151,6.2,6.09,-3086.72
2021-06-01,2021-12-01,515080,long,68355,1.441,1.434,-537.44
2021-11-01,2021-12-01,512890,long,225941,0.756,0.749,-1683.6
2021-11-01,2021-12-01,512040,long,199035,0.8582,0.8881,5846.87
2021-07-01,2022-01-04,515450,long,72430,1.21,1.241,2192.07
2021-12-01,2022-02-07,513080,long,156751,1.22,1.27,7720.46
2021-12-01,2022-02-07,511380,long,16485,11.6,11.779,2835.19
2022-01-04,2022-03-01,515900,long,69972,1.35,1.287,-4463.59
2022-02-07,2022-03-01,513100,long,162630,0.948,0.914,-5620.27
2022-02-07,2022-05-05,512040,long,167580,0.92,0.8652,-9273.13
2022-03-01,2022-05-05,511380,long,11863,11.819,11.022,-9536.1
2022-05-05,2022-06-01,513100,long,152181,0.915,0.87,-6929.64
2022-05-05,2022-06-01,518860,long,35065,3.971,3.9,-2572.41
2022-06-01,2022-07-01,159985,long,84573,1.624,1.549,-6423.48
2021-12-01,2022-08-01,513500,long,135600,1.4103,1.309,-13846.9
2022-08-01,2022-09-01,512750,long,117761,1.039,1.04,44.31
2022-07-01,2022-10-10,512040,long,118487,0.9165,0.8298,-10334.9
2022-09-01,2022-10-10,513500,long,95298,1.284,1.21,-7123.35
2022-10-10,2022-11-01,510160,long,211732,0.664,0.63,-7281.08
2022-03-01,2022-12-01,512890,long,171412,0.818,0.862,7455.74
2022-11-01,2022-12-01,510130,long,22172,5.007,5.316,6782.48
2022-06-01,2023-01-03,511380,long,12178,11.278,10.957,-3990.37
2022-12-01,2023-01-03,513800,long,129595,1.095,1.066,-3842.27
2023-01-03,2023-02-01,510160,long,202657,0.688,0.734,9235.77
2021-10-08,2023-03-01,515100,long,89382,1.46,1.64,16005.63
