entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,510500,long,7077,7.063,7.022,-320.06
2021-01-04,2021-02-01,512690,long,35612,1.4036,1.3958,-307.68
2021-01-04,2021-02-01,512950,long,42252,1.183,1.178,-241.19
2021-01-04,2021-02-01,510300,long,10437,4.789,4.929,1430.75
2021-01-04,2021-03-01,510170,long,82674,0.6046,0.6613,4656.22
2021-01-04,2021-03-01,513050,long,24100,2.074,2.31,5655.9
2021-01-04,2021-03-01,518880,long,12826,3.897,3.572,-4197.19
2021-01-04,2021-03-01,518800,long,12976,3.852,3.542,-4051.34
2021-01-04,2021-03-01,515300,long,46154,1.083,1.13,2138.6
2021-01-04,2021-03-01,159949,long,40116,1.246,1.258,451.26
2021-02-01,2021-03-01,510050,long,2901,3.455,3.525,197.0
2021-01-04,2021-04-01,512260,long,36512,1.369,1.394,882.54
2021-01-04,2021-04-01,159928,long,37470,1.334,1.2388,-3596.06
2021-01-04,2021-04-01,159915,long,17452,2.864,2.665,-3501.9
2021-02-01,2021-04-01,512010,long,12434,0.8063,0.7531,-667.31
2021-03-01,2021-04-01,159902,long,4929,4.82,4.397,-2098.6
2021-01-04,2021-05-06,159901,long,12937,3.8636,3.937,919.3
2021-02-01,2021-05-06,159985,long,7875,1.273,1.301,214.42
2021-03-01,2021-05-06,512770,long,10814,2.197,2.186,-133.17
2021-03-01,2021-05-06,512870,long,12638,1.88,1.847,-431.18
2021-03-01,2021-05-06,512950,long,20084,1.183,1.145,-777.22
2021-03-01,2021-05-06,510300,long,4788,4.962,4.69,-1316.2
2021-04-01,2021-05-06,510130,long,4626,5.502,5.561,257.58
2021-04-01,2021-05-06,515150,long,21212,1.2,1.19,-227.33
2021-01-04,2021-06-01,510660,long,15398,3.246,3.586,5203.76
2021-01-04,2021-06-01,512750,long,44549,1.122,1.144,949.79
2021-04-01,2021-06-01,515300,long,21849,1.165,1.151,-321.07
2021-05-06,2021-06-01,510500,long,4068,7.206,7.473,1068.24
2021-05-06,2021-06-01,510170,long,44816,0.6541,0.6898,1581.86
2021-01-04,2021-07-01,159905,long,18216,2.744,2.616,-2360.94
2021-05-06,2021-07-01,513800,long,24990,1.173,1.168,-142.5
2021-06-01,2021-07-01,512870,long,13252,1.943,1.999,726.44
2021-05-06,2021-08-02,513000,long,22636,1.295,1.202,-2122.1
2021-05-06,2021-08-02,513520,long,22919,1.279,1.195,-1942.21
2021-05-06,2021-08-02,513030,long,23621,1.241,1.229,-300.96
2021-05-06,2021-08-02,159996,long,20542,1.427,1.265,-3344.39
2021-05-06,2021-08-02,513500,long,22461,1.3051,1.3697,1432.96
2021-06-01,2021-08-02,159901,long,6288,4.095,3.83,-1681.27
2021-07-01,2021-08-02,510170,long,35705,0.6855,0.7779,3283.47
2021-01-04,2021-09-01,512910,long,33146,1.508,1.328,-5994.48
2021-01-04,2021-09-01,512890,long,76840,0.6505,0.7785,9802.58
2021-02-01,2021-09-01,515800,long,7549,1.328,1.295,-255.06
2021-07-01,2021-09-01,515300,long,21660,1.13,1.11,-447.76
2021-08-02,2021-09-01,512260,long,20687,1.47,1.59,2463.45
2021-08-02,2021-09-01,512750,long,30169,1.008,1.049,1218.31
2021-08-02,2021-09-01,510880,long,10864,2.799,3.133,3609.24
2021-08-02,2021-09-01,512190,long,19198,1.584,1.799,4108.09
2021-04-01,2021-10-08,159981,long,23140,1.1,1.85,17334.52
2021-09-01,2021-10-08,513520,long,27337,1.218,1.217,-47.31
2021-09-01,2021-10-08,159985,long,26218,1.27,1.224,-1225.64
2021-09-01,2021-11-01,513800,long,27747,1.2,1.166,-963.09
2021-09-01,2021-11-01,513030,long,26553,1.254,1.199,-1479.96
2021-10-08,2021-11-01,159941,long,33800,0.751,0.786,1167.41
2021-10-08,2021-11-01,513100,long,26188,0.9693,1.0152,1186.44
2021-03-01,2021-12-01,515080,long,18620,1.276,1.434,2926.82
2021-09-01,2021-12-01,513000,long,27137,1.227,1.172,-1512.07
2021-11-01,2021-12-01,513520,long,22566,1.216,1.169,-1076.75
2021-01-04,2022-01-04,510160,long,72442,0.69,0.759,4967.01
2021-07-01,2022-01-04,515150,long,19533,1.253,1.307,1039.78
2021-11-01,2022-01-04,512890,long,36296,0.756,0.795,1398.66
2021-12-01,2022-02-07,513030,long,23221,1.128,1.135,146.78
2022-01-04,2022-02-07,512100,long,8904,3.114,2.723,-3497.06
2021-12-01,2022-03-01,159941,long,32539,0.805,0.69,-3756.58
2022-01-04,2022-03-01,513300,long,20818,1.332,1.128,-4262.24
2022-02-07,2022-03-01,515150,long,22463,1.223,1.278,1218.61
2021-03-01,2022-04-01,159980,long,18054,1.316,1.71,7096.89
2021-08-02,2022-04-01,513080,long,23446,1.297,1.19,-2526.22
