entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512100,long,40100,2.493,2.365,-5191.24
2021-01-04,2021-02-01,159941,long,154036,0.649,0.645,-675.94
2021-01-04,2021-02-01,159949,long,80232,1.246,1.33,6677.48
2021-01-04,2021-03-01,510500,long,14154,7.063,7.08,180.56
2021-02-01,2021-03-01,159928,long,22107,1.3603,1.336,-555.08
2021-01-04,2021-04-01,512480,long,92684,1.0786,0.896,-16979.0
2021-02-01,2021-04-01,512290,long,15662,1.92,1.828,-1458.51
2021-03-01,2021-04-01,512390,long,22543,1.509,1.489,-471.14
2021-01-04,2021-05-06,512710,long,105564,0.947,0.72,-24015.82
2021-04-01,2021-05-06,512910,long,28233,1.478,1.483,116.09
2021-02-01,2021-06-01,512010,long,37296,0.8063,0.8595,1965.51
2021-04-01,2021-06-01,159928,long,33685,1.2388,1.3667,4281.98
2021-05-06,2021-06-01,513000,long,31653,1.295,1.241,-1733.34
2021-05-06,2021-06-01,515700,long,19918,2.058,2.391,6606.11
2021-01-04,2021-07-01,513050,long,48201,2.074,1.922,-7384.34
2021-03-01,2021-07-01,512770,long,15483,2.197,2.428,3555.09
2021-04-01,2021-07-01,159949,long,35727,1.168,1.54,13261.42
2021-01-04,2021-08-02,512400,long,96776,1.033,1.457,40960.73
2021-07-01,2021-08-02,512010,long,57655,0.834,0.738,-5562.07
2021-06-01,2021-09-01,159901,long,12035,4.095,3.725,-4481.18
2021-06-01,2021-09-01,159981,long,39905,1.235,1.374,5515.56
2021-08-02,2021-09-01,510660,long,14922,3.485,3.128,-5356.76
2021-08-02,2021-09-01,159928,long,50983,1.02,1.002,-948.62
2021-06-01,2021-10-08,512170,long,54881,0.898,0.774,-6832.77
2021-09-01,2021-10-08,512480,long,47361,1.295,1.269,-1267.82
2021-09-01,2021-10-08,515700,long,19077,3.215,3.099,-2249.07
2021-09-01,2021-10-08,512660,long,44029,1.393,1.25,-6331.06
2021-01-04,2021-11-01,512690,long,71224,1.4036,1.222,-12990.38
2021-07-01,2021-11-01,512710,long,56972,0.844,0.925,4584.5
2021-10-08,2021-11-01,510130,long,9574,6.106,6.09,-188.21
2021-10-08,2021-11-01,512190,long,33197,1.761,1.672,-2988.72
2021-10-08,2021-11-01,512100,long,20263,2.885,2.849,-764.32
2021-10-08,2021-12-01,515080,long,39235,1.49,1.434,-2231.58
2021-11-01,2021-12-01,510160,long,89078,0.743,0.724,-1731.69
2021-11-01,2022-01-04,512890,long,87547,0.756,0.795,3373.6
2021-11-01,2022-01-04,515450,long,53853,1.229,1.241,606.33
2021-12-01,2022-01-04,512690,long,35117,1.286,0.965,-11296.27
2021-12-01,2022-01-04,513080,long,37017,1.22,1.307,3192.42
2021-01-04,2022-02-07,510170,long,165349,0.6046,0.7866,30024.51
2021-06-01,2022-02-07,515210,long,31816,1.549,1.566,511.14
2022-01-04,2022-02-07,159980,long,38916,1.49,1.558,2610.7
2022-01-04,2022-02-07,511380,long,4909,11.81,11.779,-186.92
2021-09-01,2022-03-01,512580,long,33829,1.813,1.708,-3587.78
2022-02-07,2022-03-01,513300,long,54986,1.175,1.128,-2622.33
2021-07-01,2022-04-01,515220,long,59407,0.8094,1.1356,19343.9
2022-03-01,2022-04-01,515080,long,34896,1.454,1.473,632.38
2022-01-04,2022-05-05,515900,long,42952,1.35,1.155,-8407.92
2022-03-01,2022-05-05,511380,long,4293,11.819,11.022,-3450.94
2021-11-01,2022-06-01,159981,long,42426,1.56,1.726,7000.89
2022-04-01,2022-06-01,518860,long,13537,3.876,3.9,293.31
2021-11-01,2022-07-01,515100,long,47822,1.384,1.538,7322.67
2022-06-01,2022-07-01,159980,long,33266,1.621,1.408,-7115.89
2022-06-01,2022-07-01,511380,long,4781,11.278,11.633,1664.39
2022-01-04,2022-08-01,513500,long,39424,1.4708,1.309,-6411.68
2022-02-07,2022-08-01,513100,long,68153,0.948,0.888,-4126.72
2022-05-05,2022-08-01,159941,long,74550,0.693,0.671,-1670.61
2022-05-05,2022-08-01,513300,long,45599,1.133,1.098,-1626.48
2022-07-01,2022-08-01,515900,long,49495,1.227,1.204,-1174.48
2022-04-01,2022-09-01,159985,long,33895,1.548,1.636,2950.38
2022-08-01,2022-09-01,515590,long,48052,1.45,1.438,-618.26
2022-08-01,2022-09-01,516520,long,64875,1.074,0.952,-7954.18
2022-07-01,2022-10-10,516150,long,43722,1.389,1.147,-10613.99
2022-07-01,2022-10-10,516110,long,50274,1.208,0.98,-11495.47
2022-02-07,2022-11-01,512040,long,70227,0.92,0.8003,-8442.42
2022-08-01,2022-11-01,159980,long,50091,1.391,1.421,1460.47
2022-08-01,2022-12-01,512100,long,25309,2.753,2.586,-4267.14
2022-09-01,2022-12-01,159865,long,61095,0.875,0.8,-4612.83
2022-10-10,2022-12-01,510160,long,71321,0.664,0.711,3322.67
2022-11-01,2022-12-01,510130,long,10109,5.007,5.316,3092.37
2022-02-07,2023-01-03,512890,long,81680,0.791,0.819,2247.59
2022-09-01,2023-01-03,513500,long,41634,1.284,1.25,-1447.21
2022-09-01,2023-01-03,511380,long,4628,11.55,10.957,-2775.65
2022-10-10,2023-01-03,159766,long,48872,0.969,1.128,7739.9
2022-12-01,2023-01-03,159941,long,95202,0.655,0.599,-5367.13
2022-12-01,2023-02-01,560500,long,65987,0.945,0.961,1018.06
2022-12-01,2023-02-01,518880,long,15806,3.945,4.084,2158.96
2023-01-03,2023-02-01,518660,long,16427,3.992,4.091,1586.44
2023-01-03,2023-02-01,510130,long,12753,5.142,5.418,3479.43
2022-08-01,2023-03-01,515100,long,46112,1.511,1.64,5904.86
2023-02-01,2023-03-01,513360,long,101894,0.581,0.563,-1869.06
2022-12-01,2023-04-03,513800,long,56947,1.095,1.117,1215.04
2023-01-03,2023-04-03,512190,long,38826,1.689,1.77,3104.62
2023-01-03,2023-04-03,510160,long,95317,0.688,0.736,4534.5
2023-01-03,2023-04-03,515080,long,47280,1.387,1.46,3411.06
2023-02-01,2023-04-03,513660,long,51559,1.1482,1.1005,-2494.15
2023-02-01,2023-04-03,159607,long,67273,0.88,0.824,-3801.68
2023-03-01,2023-04-03,159605,long,62578,0.78,0.821,2535.64
2022-11-01,2023-05-04,515300,long,47482,1.066,1.345,13213.13
2023-02-01,2023-05-04,512950,long,48052,1.232,1.323,4335.9
2023-03-01,2023-05-04,159758,long,50321,0.97,0.948,-1136.02
2023-04-03,2023-05-04,518860,long,19400,4.254,4.413,3034.16
2023-04-03,2023-05-04,518660,long,19323,4.271,4.391,2268.55
2023-04-03,2023-06-01,159852,long,72204,1.143,0.967,-12753.61
2023-05-04,2023-06-01,159725,long,60756,0.976,0.927,-3011.73
2023-05-04,2023-06-01,516010,long,38085,1.557,1.457,-3842.94
2023-04-03,2023-07-03,515900,long,60240,1.37,1.387,974.26
2023-06-01,2023-07-03,159939,long,80474,0.594,0.595,51.77
2023-04-03,2023-08-01,515400,long,78078,1.057,0.93,-9962.45
2023-05-04,2023-08-01,512980,long,60819,0.975,0.824,-9216.49
2023-06-01,2023-08-01,515070,long,41386,1.155,1.11,-1890.49
2023-07-03,2023-08-01,159819,long,51318,0.908,0.867,-2131.36
2023-05-04,2023-09-01,515880,long,162774,0.3643,0.3842,3202.65
2023-06-01,2023-09-01,515980,long,95071,0.5028,0.4469,-5341.56
2023-07-03,2023-10-09,516010,long,32113,1.451,1.072,-12195.13
2023-08-01,2023-10-09,513000,long,45802,1.279,1.17,-5026.07
2023-08-01,2023-10-09,513520,long,46419,1.262,1.165,-4536.44
2023-08-01,2023-10-09,513800,long,46715,1.254,1.22,-1622.98
2023-04-03,2023-11-01,159869,long,68432,1.206,0.996,-14415.93
2023-10-09,2023-11-01,512890,long,59506,0.948,0.922,-1580.54
2023-04-03,2023-12-01,516510,long,68831,1.199,0.909,-20004.52
2023-11-01,2023-12-01,513030,long,40979,1.126,1.25,5052.19
2023-05-04,2024-01-02,517180,long,42326,1.401,1.274,-5409.37
2023-08-01,2024-01-02,513080,long,37794,1.55,1.544,-261.84
2023-09-01,2024-01-02,159985,long,19382,2.355,2.143,-4135.14
2023-12-01,2024-01-02,159732,long,70082,0.689,0.693,251.27
2023-10-09,2024-02-01,515100,long,31710,1.779,1.269,-16201.1
2023-10-09,2024-02-01,518860,long,12879,4.38,4.71,4214.95
2023-12-01,2024-02-01,518660,long,10524,4.588,4.646,581.24
2024-01-02,2024-02-01,512040,long,70654,0.833,0.802,-2224.93
2024-01-02,2024-02-01,515900,long,46859,1.256,1.235,-1019.06
2023-10-09,2024-03-01,513300,long,41357,1.364,1.647,11666.67
2024-02-01,2024-03-01,159732,long,114954,0.537,0.62,9501.28
2024-03-01,2024-04-01,515080,long,29666,1.51,1.488,-679.33
2023-09-01,2024-05-06,515300,long,33366,1.368,1.447,2607.74
2024-04-01,2024-05-06,515450,long,30723,1.31,1.351,1235.12
2023-11-01,2024-06-03,513520,long,39505,1.168,1.392,8818.78
2024-01-02,2024-06-03,513030,long,45909,1.282,1.401,5426.22
2024-02-01,2024-06-03,513080,long,40084,1.54,1.66,4771.6
2024-02-01,2024-06-03,513000,long,45223,1.365,1.384,821.94
2024-02-01,2024-06-03,513290,long,53913,1.145,1.157,609.72
2024-01-02,2024-07-01,512890,long,64463,0.913,1.058,9309.02
2024-03-01,2024-07-01,159687,long,38717,1.157,1.252,3650.13
2024-02-01,2024-08-01,513800,long,46309,1.333,1.422,4083.23
2024-05-06,2024-08-01,518860,long,8547,5.288,5.488,1681.77
2024-05-06,2024-08-01,518660,long,8693,5.199,5.471,2336.67
2024-06-03,2024-08-01,159985,long,30116,2.232,1.994,-7205.79
2024-06-03,2024-08-01,510170,long,73305,0.917,0.849,-5023.58
2024-06-03,2024-09-02,159980,long,37262,1.804,1.638,-6223.97
2024-06-03,2024-09-02,515220,long,50732,1.325,1.1,-11451.61
2024-07-01,2024-10-08,518880,long,8546,5.297,5.682,3262.06
2024-09-02,2024-10-08,513800,long,31317,1.402,1.377,-809.03
2024-08-01,2024-11-01,159687,long,50957,1.265,1.243,-1159.39
2024-08-01,2024-11-01,513390,long,40313,1.599,1.59,-401.38
2024-08-01,2024-11-01,513290,long,49969,1.29,1.21,-4035.0
2024-09-02,2024-11-01,513100,long,30726,1.429,1.433,96.52
2024-10-08,2024-11-01,513000,long,30906,1.433,1.381,-1633.2
2024-07-01,2024-12-02,513530,long,33312,1.359,1.362,72.74
2024-08-01,2024-12-02,513300,long,33434,1.928,1.969,1331.71
2024-08-01,2024-12-02,159941,long,58707,1.098,1.161,3658.76
2024-10-08,2024-12-02,159509,long,31101,1.424,1.52,2958.23
2024-11-01,2024-12-02,513600,long,27301,2.303,2.228,-2084.69
2024-11-01,2024-12-02,159850,long,85197,0.738,0.708,-2592.87
2024-11-01,2025-01-02,513050,long,51707,1.216,1.169,-2467.23
2024-11-01,2025-02-05,518860,long,10372,6.062,6.386,3321.79
2024-12-02,2025-02-05,159842,long,57813,1.145,1.038,-6223.85
2024-12-02,2025-02-05,159949,long,66932,0.989,0.933,-3786.78
2025-01-02,2025-02-05,159995,long,26655,1.22,1.219,-46.16
2024-12-02,2025-03-03,518660,long,11315,5.85,6.435,6577.57
2025-02-05,2025-03-03,513730,long,39096,1.314,1.19,-4877.27
2025-02-05,2025-03-03,512800,long,67936,0.7562,0.7491,-513.02
2024-06-03,2025-04-01,513650,long,48887,1.375,1.459,4064.94
2024-11-01,2025-04-01,518890,long,10322,6.091,7.058,9940.66
2024-12-02,2025-04-01,513090,long,43751,1.513,1.538,1053.73
2024-12-02,2025-04-01,588200,long,44970,1.472,1.563,4051.32
2025-02-05,2025-04-01,513870,long,34044,1.509,1.325,-6293.04
2025-02-05,2025-04-01,513390,long,27965,1.837,1.57,-7495.24
2025-03-03,2025-04-01,159687,long,35045,1.365,1.281,-2971.6
