entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512710,long,105564,0.947,0.8739,-7774.39
2021-01-04,2021-02-01,512660,long,75449,1.325,1.19,-10242.54
2021-01-04,2021-02-01,512400,long,96776,1.033,1.066,3132.67
2021-01-04,2021-02-01,159928,long,74940,1.334,1.3603,1910.35
2021-01-04,2021-03-01,515700,long,47177,2.119,1.987,-6285.48
2021-01-04,2021-03-01,515030,long,58461,1.71,1.541,-9936.93
2021-01-04,2021-03-01,512690,long,71224,1.4036,1.2793,-8910.47
2021-01-04,2021-03-01,512580,long,80491,1.242,1.24,-220.92
2021-01-04,2021-03-01,512770,long,46476,2.151,2.197,2077.27
2021-01-04,2021-03-01,159949,long,80232,1.246,1.258,902.51
2021-02-01,2021-03-01,513050,long,16563,2.336,2.31,-453.72
2021-02-01,2021-03-01,159915,long,12794,3.024,2.85,-2248.7
2021-02-01,2021-03-01,159822,long,33586,1.152,1.143,-325.4
2021-02-01,2021-04-01,512170,long,47115,0.8212,0.758,-2999.99
2021-03-01,2021-04-01,159980,long,70109,1.316,1.257,-4190.55
2021-03-01,2021-04-01,512400,long,80510,1.146,1.013,-10759.98
2021-03-01,2021-04-01,510170,long,139519,0.6613,0.6242,-5229.96
2021-03-01,2021-04-01,512040,long,116143,0.7944,0.8073,1442.44
2021-03-01,2021-04-01,512800,long,147293,0.6264,0.6339,1049.01
2021-03-01,2021-04-01,513600,long,33883,2.723,2.695,-1003.8
2021-03-01,2021-04-01,513660,long,66068,1.3965,1.3714,-1713.17
2021-04-01,2021-05-06,515450,long,62162,1.212,1.17,-2655.22
2021-04-01,2021-05-06,515100,long,57512,1.31,1.302,-505.16
2021-04-01,2021-05-06,512890,long,108638,0.6935,0.7023,910.52
2021-04-01,2021-05-06,513030,long,62731,1.201,1.241,2463.28
2021-04-01,2021-05-06,513500,long,60263,1.2502,1.3051,3262.24
2021-04-01,2021-05-06,513080,long,62784,1.2,1.258,3595.18
2021-04-01,2021-05-06,515300,long,64670,1.165,1.119,-3019.13
2021-03-01,2021-06-01,159981,long,84106,1.097,1.235,11547.79
2021-03-01,2021-06-01,515210,long,68649,1.344,1.549,14013.46
2021-04-01,2021-06-01,515220,long,111897,0.6733,0.7652,10235.05
