entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,513600,long,79058,2.529,2.65,9443.19
2021-01-04,2021-02-01,513660,long,154322,1.2956,1.3458,7624.68
2021-02-01,2021-03-01,512040,long,111633,0.747,0.7944,5239.78
2021-02-01,2021-03-01,512260,long,63078,1.322,1.361,2409.27
2021-01-04,2021-04-01,515450,long,184106,1.086,1.212,23070.43
2021-01-04,2021-04-01,515300,long,184616,1.083,1.165,15014.01
2021-03-01,2021-04-01,513080,long,74295,1.143,1.2,4182.59
2021-03-01,2021-04-01,513500,long,70742,1.2004,1.2502,3470.94
2021-04-01,2021-07-01,518890,long,48573,3.583,3.684,4799.98
2021-04-01,2021-07-01,518880,long,49191,3.538,3.61,3436.27
2021-04-01,2021-07-01,518800,long,49711,3.501,3.571,3374.3
2021-04-01,2021-07-01,518660,long,48723,3.572,3.655,3938.37
2021-07-01,2021-09-01,515300,long,156768,1.13,1.11,-3240.71
2021-07-01,2021-09-01,515450,long,146403,1.21,1.204,-984.44
2021-01-04,2021-10-08,511380,long,19430,10.29,11.174,17051.01
2021-07-01,2021-10-08,512260,long,119372,1.484,1.664,21374.23
2021-07-01,2021-10-08,515100,long,130160,1.361,1.46,12775.69
2021-10-08,2021-11-01,518660,long,50995,3.615,3.644,1367.8
2021-10-08,2021-11-01,518890,long,50479,3.652,3.665,545.42
2021-11-01,2021-12-01,513080,long,114622,1.29,1.22,-8109.85
2021-09-01,2022-01-04,513500,long,74767,1.4103,1.4708,4458.78
2021-09-01,2022-01-04,513030,long,84086,1.254,1.178,-6451.89
2021-12-01,2022-04-01,518800,long,32976,3.538,3.805,8731.95
2022-04-01,2022-05-05,510130,long,19505,5.442,5.078,-7161.38
2022-01-04,2022-08-01,518890,long,36547,3.697,3.806,3901.36
2021-11-01,2022-11-01,511380,long,13334,11.089,11.078,-235.35
2022-08-01,2023-01-03,518860,long,29753,3.75,4.016,7844.98
2021-10-08,2023-04-03,518880,long,51494,3.58,4.27,35409.59
2022-01-04,2023-04-03,518660,long,36676,3.684,4.271,21441.28
2022-05-05,2023-05-04,518800,long,26905,3.892,4.36,12524.93
2022-11-01,2023-05-04,518890,long,30734,3.865,4.424,17103.88
2023-04-03,2023-05-04,159610,long,204061,0.835,0.833,-510.23
2023-04-03,2023-05-04,512260,long,107502,1.585,1.568,-1929.22
2023-05-04,2023-06-01,510880,long,72256,3.052,2.99,-4610.84
2023-05-04,2023-06-01,159625,long,206100,1.07,1.113,8727.33
2023-05-04,2023-06-01,510810,long,263474,0.837,0.807,-8034.17
2023-06-01,2023-07-03,159678,long,184494,0.952,0.963,1923.44
2023-06-01,2023-07-03,159610,long,213933,0.821,0.833,2461.04
2023-06-01,2023-07-03,517330,long,238316,0.737,0.751,3230.04
2023-05-04,2023-08-01,159687,long,221859,0.994,1.111,25817.4
2023-07-03,2023-12-01,518800,long,41142,4.306,4.536,9353.53
2023-07-03,2023-12-01,518880,long,40596,4.364,4.589,9025.06
2023-08-01,2023-12-01,518660,long,27081,4.436,4.588,4043.0
2023-07-03,2024-01-02,518890,long,40054,4.423,4.669,9744.03
2023-12-01,2024-01-02,515300,long,145230,1.346,1.268,-11441.83
2023-12-01,2024-02-01,512390,long,171023,1.143,1.069,-12769.19
2024-01-02,2024-02-01,510880,long,51989,2.931,2.923,-507.22
2024-01-02,2024-02-01,515080,long,109468,1.392,1.419,2863.32
2024-02-01,2024-03-01,518800,long,41217,4.595,4.603,216.0
2024-02-01,2024-04-01,518860,long,40211,4.71,5.187,19061.26
2024-02-01,2024-05-06,518660,long,40765,4.646,5.199,22422.65
2024-03-01,2024-05-06,518880,long,24400,4.659,5.224,13713.66
2024-04-01,2024-05-06,518800,long,26006,5.1,5.158,1428.32
2023-12-01,2024-06-03,159980,long,129457,1.51,1.804,37931.65
2024-05-06,2024-06-03,513650,long,150833,1.331,1.375,6514.21
2024-05-06,2024-07-01,515300,long,138741,1.447,1.383,-8997.22
2024-06-03,2024-07-01,512390,long,139435,1.208,1.01,-27700.91
2024-05-06,2024-08-01,159981,long,123849,1.621,1.587,-4330.06
2024-06-03,2024-08-01,515450,long,122322,1.377,1.3,-9517.03
2024-08-01,2024-09-02,510300,long,52145,3.291,3.17,-6410.62
2024-07-01,2024-10-08,510050,long,72696,2.305,3.065,55131.85
2024-07-01,2024-10-08,510180,long,50777,3.3,4.235,47361.71
2024-08-01,2024-10-08,512750,long,138955,1.235,1.53,40876.46
2024-09-02,2024-10-08,515100,long,106089,1.282,1.596,33220.35
2023-01-03,2024-11-01,511380,long,10852,10.957,11.13,1805.49
2024-10-08,2024-12-02,518660,long,47885,5.694,5.85,7304.22
2024-10-08,2024-12-02,518800,long,48224,5.654,5.791,6441.11
2024-10-08,2024-12-02,518860,long,46213,5.9,5.899,-209.79
2024-11-01,2025-01-02,518880,long,13075,6.017,5.975,-596.19
2024-12-02,2025-01-02,159561,long,221064,1.037,1.041,746.44
2024-12-02,2025-02-05,159329,long,229244,1.0,1.209,47760.08
2024-12-02,2025-02-05,159687,long,180934,1.267,1.571,54849.89
2025-01-02,2025-02-05,513800,long,112315,1.365,1.387,2378.2
2024-10-08,2025-03-03,518890,long,47493,5.741,6.479,34875.72
2025-02-05,2025-03-03,159981,long,163656,1.438,1.43,-1450.06
2025-01-02,2025-05-06,159980,long,93940,1.632,1.664,2913.19
2025-03-03,2025-05-06,515100,long,141353,1.432,1.441,1150.34
2025-03-03,2025-05-06,562850,long,193701,1.045,1.038,-1476.95
2025-05-06,2025-08-01,159525,long,225698,1.035,1.106,15879.59
2025-05-06,2025-08-01,515450,long,166143,1.406,1.43,3846.08
2025-05-06,2025-09-01,515300,long,172779,1.352,1.372,3314.39
2025-08-01,2025-09-01,512040,long,190631,1.001,1.073,13606.82
2025-08-01,2025-09-01,515100,long,125129,1.525,1.547,2637.52
2025-02-05,2025-10-09,511380,long,19974,11.782,13.5,34163.84
2025-09-01,2025-10-09,159329,long,258237,0.935,0.996,15602.86
2025-02-05,2025-11-03,512390,long,223069,1.055,1.191,30187.08
2025-09-01,2025-11-03,159980,long,140379,1.72,1.812,12766.12
2025-09-01,2025-11-03,159525,long,216743,1.114,1.111,-794.9
2025-10-09,2025-11-03,513650,long,116027,1.74,1.802,7070.38
2025-10-09,2025-12-01,159529,long,142980,1.412,1.374,-5552.74
2025-11-03,2026-01-05,515100,long,201536,1.563,1.431,-26783.77
2025-11-03,2026-01-05,515450,long,217843,1.446,1.404,-9335.66
2025-11-03,2026-01-05,159332,long,260117,1.211,1.212,71.04
2025-11-03,2026-02-02,515080,long,196999,1.599,1.596,-779.82
2026-01-05,2026-02-02,511380,long,19269,13.68,14.415,14000.31
2025-12-01,2026-03-02,512750,long,68867,1.485,1.448,-2608.68
2026-01-05,2026-03-02,515300,long,203244,1.297,1.31,2483.21
2026-02-02,2026-03-02,512390,long,177625,1.26,1.249,-2087.57
2026-01-05,2026-04-01,560570,long,261515,1.008,1.034,6639.19
2026-03-02,2026-04-01,159985,long,124458,2.023,2.058,4203.66
2026-02-02,2026-06-01,512890,long,192110,1.165,1.166,57.77
2026-03-02,2026-06-01,159525,long,230145,1.094,1.088,-1531.52
2026-04-01,2026-07-01,512750,long,143624,1.434,1.303,-18932.67
2026-03-02,2026-07-13,515450,long,177684,1.417,1.357,-10808.91
2026-04-01,2026-07-13,563700,long,190524,1.081,1.009,-13837.19
2026-06-01,2026-07-13,159263,long,189581,1.152,1.061,-17377.73
2026-06-01,2026-07-13,515300,long,169563,1.288,1.226,-10640.79
2026-07-01,2026-07-13,560570,long,182694,0.922,0.943,3734.36
2026-07-01,2026-07-13,512890,long,157867,1.067,1.107,6211.72
2026-07-01,2026-07-13,517180,long,127032,1.326,1.383,7137.59
