entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512480,long,185369,1.0786,1.0475,-5883.21
2021-01-04,2021-02-01,513050,long,96403,2.074,2.336,25130.04
2021-01-04,2021-02-01,510500,long,28308,7.063,7.022,-1280.24
2021-02-01,2021-03-01,159928,long,90830,1.3603,1.336,-2280.64
2021-02-01,2021-04-01,510660,long,36827,3.355,3.103,-9351.75
2021-02-01,2021-04-01,512710,long,141385,0.8739,0.746,-18151.85
2021-01-04,2021-05-06,159949,long,160465,1.246,1.325,12552.97
2021-03-01,2021-05-06,512770,long,33535,2.197,2.186,-412.98
2021-04-01,2021-06-01,159928,long,83036,1.2388,1.3667,10555.4
2021-05-06,2021-06-01,510170,long,181731,0.6541,0.6898,6414.53
2021-06-01,2021-07-01,512170,long,132586,0.898,0.942,5760.6
2021-07-01,2021-08-02,510170,long,140629,0.6855,0.7779,12932.38
2021-01-04,2021-09-01,512690,long,142448,1.4036,1.108,-42214.96
2021-06-01,2021-09-01,159949,long,82970,1.435,1.412,-1979.17
2021-09-01,2021-10-08,510170,long,135783,0.988,0.9193,-9405.99
2021-08-02,2021-11-01,512580,long,57887,1.71,1.956,14176.54
2021-09-01,2021-12-01,512400,long,80044,1.676,1.452,-18004.97
2021-11-01,2021-12-01,510170,long,125013,0.8558,0.8664,1260.55
2021-12-01,2022-01-04,159981,long,93392,1.397,1.443,4216.46
2022-01-04,2022-02-07,512400,long,77594,1.356,1.23,-9837.04
2021-04-01,2022-03-01,515700,long,55067,1.868,2.892,56309.97
2021-05-06,2022-03-01,515030,long,72659,1.636,2.255,44891.11
2021-12-01,2022-03-01,512580,long,68130,1.915,1.708,-14176.96
2022-03-01,2022-04-01,512040,long,181417,0.9395,0.938,-374.31
2022-02-07,2022-05-05,510170,long,131263,0.7866,0.7989,1552.1
2022-03-01,2022-05-05,159980,long,107263,1.589,1.693,11049.74
2022-04-01,2022-05-05,515210,long,67452,1.515,1.403,-7613.67
2022-05-05,2022-06-01,515790,long,131825,1.198,1.402,26789.48
2022-05-05,2022-06-01,516160,long,52229,3.0237,3.4928,24398.52
2022-06-01,2022-07-01,159980,long,84254,1.621,1.408,-18022.66
2022-06-01,2022-07-01,510170,long,159906,0.8541,0.9053,8102.79
2022-03-01,2022-08-01,159981,long,104822,1.626,1.526,-10581.32
2022-05-05,2022-08-01,159985,long,99638,1.585,1.58,-592.8
2022-07-01,2022-09-01,516150,long,96898,1.389,1.274,-11220.68
2022-08-01,2022-09-01,516160,long,34760,4.1483,3.8013,-12144.62
2022-08-01,2022-09-01,512580,long,82870,1.74,1.605,-11270.61
2022-07-01,2022-10-10,515790,long,79405,1.695,1.473,-17703.38
2022-09-01,2022-10-10,510170,long,181624,0.904,0.86,-8087.57
2022-09-01,2022-10-10,511380,long,14215,11.55,11.311,-3494.88
2022-10-10,2022-11-01,515100,long,104679,1.456,1.422,-3649.47
2021-10-08,2022-12-01,515220,long,89297,1.1808,1.2141,2909.43
2022-10-10,2022-12-01,159865,long,187932,0.811,0.8,-2158.08
2022-10-10,2022-12-01,512890,long,182531,0.835,0.862,4835.41
2022-11-01,2023-01-03,518860,long,23563,3.85,4.016,3855.85
2022-12-01,2023-01-03,518880,long,39479,3.945,3.983,1406.31
2022-12-01,2023-01-03,518800,long,39924,3.901,3.941,1503.03
2022-12-01,2023-01-03,518660,long,38936,4.0,3.992,-404.84
2023-01-03,2023-02-01,512890,long,213871,0.819,0.845,5453.88
2023-01-03,2023-02-01,515100,long,115010,1.523,1.59,7598.26
2023-01-03,2023-02-01,159980,long,109681,1.597,1.65,5706.25
2023-02-01,2023-03-01,159766,long,133098,1.081,1.115,4437.65
2023-02-01,2023-04-03,518880,long,35230,4.084,4.27,6464.49
2023-03-01,2023-04-03,518860,long,21497,4.057,4.254,4181.31
2022-09-01,2023-05-04,159985,long,100359,1.636,1.753,11639.97
2023-01-03,2023-05-04,515220,long,166392,1.0527,1.0666,2207.06
2023-04-03,2023-05-04,517180,long,94495,1.25,1.401,14193.59
2023-05-04,2023-06-01,159605,long,232970,0.721,0.689,-7553.59
2023-02-01,2023-08-01,513360,long,247641,0.581,0.606,6102.84
2023-06-01,2023-08-01,512980,long,109815,0.904,0.824,-8842.13
2023-08-01,2023-09-01,515880,long,317641,0.4014,0.3842,-5538.29
2023-08-01,2023-09-01,159941,long,146722,0.869,0.859,-1543.28
2023-04-03,2023-10-09,516510,long,98514,1.199,0.975,-22131.39
2023-09-01,2023-11-01,513360,long,223953,0.563,0.574,2387.09
2023-10-09,2023-11-01,512980,long,123342,0.769,0.712,-7085.29
2023-11-01,2023-12-01,513080,long,84668,1.407,1.504,8138.86
2023-11-01,2023-12-01,516510,long,135526,0.879,0.909,3993.08
2023-05-04,2024-01-02,516010,long,107881,1.557,1.022,-57799.8
2023-09-01,2024-01-02,159985,long,53539,2.355,2.143,-11422.51
2023-12-01,2024-01-02,512980,long,161855,0.751,0.726,-4118.09
2023-12-01,2024-02-01,513360,long,188455,0.645,0.523,-23057.54
2023-05-04,2024-03-01,159869,long,105975,1.585,1.022,-59746.81
2024-02-01,2024-03-01,516010,long,91545,0.833,1.023,17342.58
2024-03-01,2024-05-06,513000,long,68356,1.483,1.4,-5732.67
2024-03-01,2024-06-03,513520,long,64160,1.58,1.392,-12119.29
2024-06-03,2024-07-01,513650,long,59500,1.375,1.452,4531.04
2024-07-01,2024-09-02,513390,long,50285,1.645,1.562,-4222.03
2024-09-02,2024-10-08,513650,long,55134,1.485,1.427,-3245.94
2024-01-02,2024-11-01,159941,long,155203,0.911,1.081,26291.76
2024-01-02,2024-11-01,513100,long,116851,1.21,1.433,25965.12
