date,value,dr,cmax,dd
2021-01-04,1041853.79,,1041853.79,0.0
2021-02-01,990008.84,-0.04976221279571302,1041853.79,-4.976221279571302
2021-03-01,944514.47,-0.04595349875865751,1041853.79,-9.342896377043463
2021-04-01,902789.64,-0.044175956351415135,1041853.79,-13.347760629636907
2021-05-06,959111.84,0.06238684794832161,1041853.79,-7.9418005476565074
2021-06-01,1043594.85,0.08808462837868847,1043594.85,0.0
2021-07-01,1090212.75,0.04467049640959808,1090212.75,0.0
2021-08-02,1166612.14,0.07007750551440517,1166612.14,0.0
2021-09-01,1117526.54,-0.04207533790965001,1166612.14,-4.207533790965002
2021-10-08,1126478.7,0.008010691182331886,1166612.14,-3.4401699265704466
2021-11-01,1198581.55,0.0640072910388807,1198581.55,0.0
2021-12-01,1217672.22,0.01592771889405431,1217672.22,0.0
2022-01-04,1111695.38,-0.08703232139105554,1217672.22,-8.703232139105555
2022-02-07,1055915.42,-0.05017557957288621,1217672.22,-13.284100379657183
2022-03-01,1114132.75,0.055134463326617755,1217672.22,-8.503065792204733
2022-04-01,1094146.36,-0.01793896642926962,1217672.22,-10.144426223339465
2022-05-05,1074888.34,-0.017600954227001253,1217672.22,-11.725970064423407
2022-06-01,1076748.23,0.0017303099594512261,1217672.22,-11.573228631264987
2022-07-01,1047021.39,-0.027607976657644473,1217672.22,-14.014512871123886
2022-08-01,1033906.03,-0.012526353449187844,1217672.22,-15.091597474400785
2022-09-01,1052519.28,0.018002844997431655,1217672.22,-13.563004664752876
2022-10-10,1027497.21,-0.02377350275236767,1217672.22,-15.617914811261768
2022-11-01,1008354.45,-0.01863047394552053,1217672.22,-17.18999305083925
2022-12-01,1078673.06,0.06973600404103952,1217672.22,-11.415154071594069
2023-01-03,1083120.91,0.004123445893790878,1217672.22,-11.049879252398487
2023-02-01,1147795.53,0.05971135761749813,1217672.22,-5.7385467823187986
2023-03-01,1156789.09,0.007835507078512549,1217672.22,-4.99996049840078
2023-04-03,1195253.63,0.03325112618411685,1217672.22,-1.8411021974370168
2023-05-04,1137615.19,-0.048222769254421705,1217672.22,-6.574596076438377
2023-06-01,1109692.0,-0.024545373730461506,1217672.22,-8.867757531661514
2023-07-03,1056186.07,-0.04821691964977659,1217672.22,-13.261873544261348
2023-08-01,1010738.27,-0.043030107374924964,1217672.22,-16.994224439151605
2023-09-01,985225.44,-0.025241776983471742,1217672.22,-19.089437714198652
2023-10-09,952756.41,-0.03295593950558151,1217672.22,-21.755921310252113
2023-11-01,929477.47,-0.02443325466579649,1217672.22,-23.66767881096934
2023-12-01,965677.28,0.03894640931963633,1217672.22,-20.694808985623403
2024-01-02,974494.38,0.009130483011881463,1217672.22,-19.970714286312617
2024-02-01,956458.31,-0.018508131365518987,1217672.22,-21.45190681939019
2024-03-01,1004506.86,0.05023590625711627,1217672.22,-17.50597217369384
2024-04-01,1020506.08,0.01592743727006507,1217672.22,-16.19205372033534
2024-05-06,987073.0,-0.03276127468049961,1217672.22,-18.937708868812
2024-06-03,1003901.1,0.017048485775621458,1217672.22,-17.555719551522664
2024-07-01,1056055.77,0.051952000052594816,1217672.22,-13.27257428932722
2024-08-01,1017850.24,-0.03617756853882825,1217672.22,-16.41016167717122
2024-09-02,976048.65,-0.04106850728845923,1217672.22,-19.84307156157343
2024-10-08,1100352.65,0.1273543075952206,1217672.22,-9.634741441337969
2024-11-01,1147730.03,0.04305654191862951,1217672.22,-5.743925898219137
2024-12-02,1155233.27,0.006537460730203337,1217672.22,-5.1277305151956165
2025-01-02,1078301.23,-0.06659437708195504,1217672.22,-11.445690203887548
2025-02-05,1110955.87,0.030283411621444767,1217672.22,-8.76396358947894
2025-03-03,1165727.94,0.049301751292785134,1217672.22,-4.265867213427931
2025-04-01,1127514.64,-0.03278063318959312,1217672.22,-7.404092704028353
2025-05-06,1115491.22,-0.010663648677767923,1217672.22,-8.391502928431759
2025-06-03,1099170.49,-0.014630980242049785,1217672.22,-9.731825039089747
2025-07-01,1090813.92,-0.007602614950115716,1217672.22,-10.418099215567223
2025-08-01,1148590.06,0.05296608242769785,1217672.22,-5.673296874589118
2025-09-01,1242359.35,0.08163860481258212,1242359.35,0.0
2025-10-09,1228223.65,-0.01137810891832558,1242359.35,-1.137810891832558
2025-11-03,1192001.03,-0.02949187633701722,1242359.35,-4.053442347417446
2025-12-01,1185962.88,-0.00506555770341921,1242359.35,-4.539465171651036
2026-01-05,1256626.27,0.05958313804897508,1256626.27,0.0
2026-02-02,1276109.64,0.015504506363693826,1276109.64,0.0
2026-03-02,1342911.59,0.05234812739131112,1342911.59,0.0
2026-04-01,1208718.97,-0.09992662286874754,1342911.59,-9.992662286874754
2026-05-06,1241526.6,0.0271424796121138,1342911.59,-7.549639958055609
2026-06-01,1180412.7,-0.049224801144011066,1342911.59,-12.100490546812548
2026-07-01,1116694.63,-0.05397948531051899,1342911.59,-16.845260826142706
2026-07-13,860536.79,-0.22938933627718783,1342911.59,-35.9200712535365
