entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512710,long,211129,0.947,0.8739,-15548.86
2021-01-04,2021-03-01,510660,long,61595,3.246,3.228,-1228.34
2021-01-04,2021-04-01,159949,long,160465,1.246,1.168,-12632.48
2021-02-01,2021-04-01,512770,long,16048,2.298,1.994,-4899.26
2021-01-04,2021-05-06,159928,long,149880,1.334,1.3113,-3521.22
2021-04-01,2021-07-01,510170,long,159012,0.6242,0.6855,9684.96
2021-01-04,2021-08-02,512690,long,142448,1.4036,1.099,-43496.61
2021-05-06,2021-08-02,159949,long,74594,1.325,1.53,15227.88
2021-07-01,2021-09-01,512580,long,65833,1.532,1.813,18433.01
2021-08-02,2021-09-01,510170,long,173273,0.7779,0.988,36312.86
2021-08-02,2021-10-08,512400,long,92511,1.457,1.407,-4705.04
2021-09-01,2021-10-08,515210,long,62844,2.211,1.913,-18805.26
2021-09-01,2021-11-01,515220,long,123268,1.1272,0.9588,-20835.47
2021-10-08,2021-12-01,159981,long,72116,1.85,1.397,-32738.8
2021-11-01,2022-01-04,512400,long,75344,1.376,1.356,-1568.63
2021-03-01,2022-02-07,515700,long,34849,1.987,2.792,28003.48
2021-04-01,2022-02-07,515030,long,67751,1.465,2.16,47013.27
2022-01-04,2022-02-07,515790,long,59815,1.72,1.479,-14472.82
2021-10-08,2022-03-01,512580,long,73305,1.82,1.708,-8287.75
2022-02-07,2022-03-01,159980,long,95434,1.558,1.589,2868.35
2022-02-07,2022-04-01,510170,long,189025,0.7866,0.8756,16728.97
2022-03-01,2022-04-01,512400,long,80232,1.431,1.238,-15549.02
2022-03-01,2022-04-01,515210,long,68914,1.666,1.515,-10471.78
2022-04-01,2022-05-05,515790,long,102803,1.388,1.198,-19612.32
2022-04-01,2022-06-01,159980,long,83445,1.71,1.621,-7509.99
2022-05-05,2022-06-01,510170,long,102258,0.7989,0.8541,5593.93
2022-02-07,2022-07-01,159981,long,86446,1.72,1.605,-10027.52
2022-04-01,2022-07-01,159985,long,92178,1.548,1.549,6.54
2022-06-01,2022-08-01,516150,long,92310,1.19,1.4,19313.38
2022-07-01,2022-08-01,516160,long,28697,4.2576,4.1483,-3208.95
2022-06-01,2022-09-01,515790,long,78351,1.402,1.605,15834.57
2022-07-01,2022-09-01,510170,long,134962,0.9053,0.904,-248.71
2022-08-01,2022-09-01,159981,long,80560,1.526,1.484,-3456.27
2021-12-01,2022-10-10,515220,long,112271,0.9181,1.3114,44081.09
2022-09-01,2022-10-10,512890,long,173560,0.848,0.835,-2343.91
2022-09-01,2022-10-10,515100,long,96828,1.52,1.456,-6283.44
2022-09-01,2022-11-01,159865,long,168204,0.875,0.754,-20434.89
2022-10-10,2022-11-01,159766,long,150100,0.969,0.91,-8940.51
2022-10-10,2022-12-01,518860,long,38195,3.808,3.992,6938.5
2022-10-10,2022-12-01,518800,long,38427,3.785,3.901,4368.93
2022-11-01,2022-12-01,518880,long,29104,3.808,3.945,3919.56
2022-11-01,2022-12-01,518890,long,28675,3.865,4.001,3832.13
2022-12-01,2023-01-03,515220,long,142344,1.2141,1.0527,-23071.12
2022-12-01,2023-01-03,512890,long,200487,0.862,0.819,-8722.05
2022-12-01,2023-01-03,515100,long,110782,1.56,1.523,-4201.4
2022-12-01,2023-01-03,510880,long,56886,3.038,2.864,-9998.89
2023-01-03,2023-02-01,159766,long,145057,1.128,1.081,-6913.81
2023-01-03,2023-03-01,518880,long,41080,3.983,4.029,1790.94
2022-08-01,2023-04-03,159985,long,77807,1.58,1.839,20072.21
2023-01-03,2023-04-03,518860,long,40743,4.016,4.254,9595.75
2023-02-01,2023-04-03,515220,long,57496,1.1143,1.1014,-779.92
2023-03-01,2023-04-03,513080,long,60500,1.394,1.416,1280.0
2023-04-03,2023-05-04,159852,long,140414,1.143,1.006,-19327.24
2023-01-03,2023-07-03,513360,long,315268,0.519,0.536,5259.77
2023-05-04,2023-07-03,512980,long,61880,0.975,0.895,-4985.11
2023-07-03,2023-08-01,515880,long,206552,0.4508,0.4014,-10256.48
2023-07-03,2023-08-01,159941,long,110849,0.84,0.869,3157.79
2023-04-03,2023-09-01,516510,long,133856,1.199,1.025,-23380.25
2023-08-01,2023-09-01,513080,long,59157,1.55,1.523,-1651.78
2023-09-01,2023-10-09,159985,long,42653,2.355,2.228,-5475.57
2023-10-09,2023-11-01,516510,long,81297,0.975,0.879,-7849.73
2023-04-03,2023-12-01,516010,long,134982,1.189,1.034,-21012.23
2023-09-01,2023-12-01,512980,long,120732,0.832,0.751,-9836.63
2023-11-01,2023-12-01,159985,long,34439,2.256,2.218,-1354.91
2023-08-01,2024-01-02,513360,long,151310,0.606,0.602,-660.07
2023-04-03,2024-02-01,159869,long,133079,1.206,0.837,-49187.72
2024-01-02,2024-02-01,516010,long,66130,1.022,0.833,-12535.37
2024-02-01,2024-03-01,513500,long,52775,1.655,1.782,6648.01
2024-03-01,2024-04-01,513000,long,48013,1.483,1.533,2357.21
2024-02-01,2024-05-06,513520,long,60866,1.435,1.439,190.99
2024-05-06,2024-06-03,513650,long,56233,1.331,1.375,2428.6
2024-06-03,2024-08-01,513390,long,49889,1.51,1.599,4393.59
2023-12-01,2024-09-02,159941,long,142546,0.866,1.074,29566.61
2023-12-01,2024-10-08,513100,long,107530,1.148,1.39,25940.39
2023-12-01,2024-10-08,513300,long,86506,1.427,1.728,25956.43
2024-04-01,2024-10-08,513500,long,38472,1.863,1.886,841.59
2024-08-01,2024-10-08,513650,long,51528,1.479,1.427,-2724.38
2024-10-08,2024-11-01,159605,long,146266,1.109,0.952,-23054.2
2024-10-08,2024-11-01,159607,long,147732,1.098,0.942,-23136.6
2024-10-08,2024-11-01,510230,long,110950,1.462,1.263,-22169.75
2024-10-08,2024-11-01,513530,long,104449,1.553,1.415,-14506.96
2024-11-01,2024-12-02,518800,long,24461,5.954,5.791,-4073.33
2024-11-01,2024-12-02,518880,long,24204,6.017,5.85,-4128.24
2024-11-01,2024-12-02,518860,long,24025,6.062,5.899,-4002.28
2024-11-01,2024-12-02,518890,long,23910,6.091,5.883,-5059.17
2024-12-02,2025-01-02,513500,long,64661,2.199,2.163,-2412.41
2024-12-02,2025-01-02,159851,long,186772,0.7613,0.6902,-13360.82
