entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512980,long,230611,0.867,0.877,2185.45
2021-01-04,2021-02-01,515880,long,557712,0.3585,0.3417,-9486.71
2021-01-04,2021-02-01,512890,long,307363,0.6505,0.6295,-6572.65
2021-01-04,2021-02-01,512330,long,192250,1.04,0.993,-9153.0
2021-01-04,2021-03-01,512200,long,86994,2.2983,2.328,2462.98
2021-02-01,2021-03-01,510880,long,62263,2.495,2.638,8807.73
2021-02-01,2021-03-01,515220,long,257284,0.6038,0.6361,8214.57
2021-02-01,2021-03-01,159804,long,146971,1.057,1.051,-974.77
2021-02-01,2021-03-01,513030,long,140714,1.104,1.129,3423.59
2021-03-01,2021-04-01,515030,long,129605,1.541,1.465,-9966.86
2021-03-01,2021-04-01,515700,long,100514,1.987,1.868,-12077.41
2021-03-01,2021-04-01,513090,long,162375,1.23,1.264,5399.26
2021-03-01,2021-04-01,512660,long,171434,1.165,1.045,-20685.74
2021-03-01,2021-05-06,159995,long,161065,1.24,1.219,-3501.18
2021-04-01,2021-05-06,512480,long,169992,0.896,0.998,17242.59
2021-04-01,2021-05-06,515050,long,440467,0.3458,0.3579,5236.66
2021-04-01,2021-05-06,512710,long,204173,0.746,0.72,-5398.29
2021-04-01,2021-05-06,513050,long,73866,2.062,2.004,-4374.33
2021-05-06,2021-06-01,515880,long,617753,0.3142,0.3317,10690.98
2021-05-06,2021-06-01,512660,long,195663,0.992,1.138,28441.77
2021-05-06,2021-06-01,515300,long,173456,1.119,1.151,5432.47
2021-05-06,2021-06-01,512750,long,173767,1.117,1.144,4573.84
2021-05-06,2021-06-01,510230,long,173147,1.121,1.188,11480.91
2021-06-01,2021-07-01,513330,long,249056,0.828,0.833,1121.18
2021-06-01,2021-07-01,513050,long,104150,1.98,1.922,-6162.62
2021-06-01,2021-07-01,159985,long,161994,1.273,1.3,4248.79
2021-06-01,2021-07-01,159865,long,238955,0.863,0.84,-5618.05
2021-06-01,2021-07-01,513300,long,186792,1.104,1.19,15935.56
2021-07-01,2021-08-02,518860,long,56755,3.667,3.652,-975.94
2021-07-01,2021-08-02,159905,long,79557,2.616,2.262,-28279.6
2021-07-01,2021-08-02,512200,long,96572,2.1551,1.9094,-23845.5
2021-07-01,2021-08-02,518800,long,58281,3.571,3.659,5002.32
