entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512390,long,137039,1.459,1.471,1524.01
2021-01-04,2021-02-01,515150,long,175385,1.14,1.134,-1171.96
2021-01-04,2021-02-01,512580,long,160982,1.242,1.292,7926.72
2021-01-04,2021-03-01,510880,long,72997,2.739,2.638,-7490.45
2021-02-01,2021-03-01,512200,long,57076,2.1308,2.328,11179.04
2021-01-04,2021-04-01,510170,long,330698,0.6046,0.6242,6359.77
2021-02-01,2021-04-01,512770,long,52924,2.298,1.994,-16157.04
2021-02-01,2021-04-01,513660,long,90369,1.3458,1.3714,2239.78
2021-03-01,2021-04-01,513600,long,41754,2.723,2.695,-1236.98
2021-03-01,2021-04-01,515150,long,95946,1.185,1.2,1370.54
2021-04-01,2021-05-06,512190,long,130167,1.543,1.526,-2332.68
2021-04-01,2021-05-06,512040,long,248790,0.8073,0.8263,4605.08
2021-04-01,2021-05-06,513050,long,97404,2.062,2.004,-5768.25
2021-05-06,2021-06-01,515080,long,88160,1.359,1.441,7155.07
2021-05-06,2021-06-01,159901,long,30431,3.937,4.095,4734.77
2021-04-01,2021-07-01,512170,long,264971,0.758,0.942,48619.53
2021-04-01,2021-07-01,512100,long,84925,2.365,2.718,29849.02
2021-05-06,2021-07-01,515210,long,75733,1.582,1.565,-1358.96
2021-06-01,2021-07-01,513050,long,49608,1.98,1.922,-2935.34
2021-06-01,2021-08-02,515450,long,82128,1.196,1.13,-5477.76
2021-07-01,2021-08-02,518890,long,53667,3.684,3.752,3529.64
2021-07-01,2021-08-02,512950,long,162458,1.217,1.217,-118.63
2021-07-01,2021-08-02,512690,long,138550,1.427,1.099,-45549.39
2021-07-01,2021-08-02,515900,long,176528,1.12,1.154,5881.52
2021-08-02,2021-09-01,159918,long,97760,2.138,2.265,12286.39
2021-08-02,2021-09-01,510130,long,36759,5.686,6.2,18763.05
2021-08-02,2021-09-01,513050,long,131454,1.59,1.531,-7878.87
2021-09-01,2021-10-08,512580,long,71726,1.813,1.82,423.91
2021-09-01,2021-10-08,512190,long,72284,1.799,1.761,-2823.99
2021-09-01,2021-10-08,515960,long,110110,1.181,1.227,4985.52
2021-08-02,2021-11-01,512010,long,283215,0.738,0.654,-23908.33
2021-10-08,2021-11-01,512870,long,68678,1.901,1.905,196.3
2021-10-08,2021-11-01,510160,long,172466,0.757,0.743,-2492.13
2021-10-08,2021-11-01,515100,long,89422,1.46,1.384,-6872.37
2021-08-02,2021-12-01,159928,long,204914,1.02,1.166,29783.06
2021-11-01,2021-12-01,159981,long,106247,1.56,1.397,-17412.51
2021-11-01,2021-12-01,513080,long,128485,1.29,1.22,-9090.7
2021-11-01,2021-12-01,159865,long,205386,0.807,0.808,105.88
2021-11-01,2022-01-04,512070,long,233775,0.709,0.746,8547.63
2021-12-01,2022-01-04,512390,long,119262,1.468,1.355,-13577.61
2021-12-01,2022-01-04,510810,long,205730,0.851,0.899,9767.03
2021-12-01,2022-01-04,512010,long,265267,0.66,0.63,-8060.67
