因子,参数,TopK,年化收益%,Sharpe,最大回撤%,Calmar,胜率%,交易次数,Start,候选规模14-17,候选规模18-26
低波动12m,12m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
低波动12m,12m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
低波动6m,6m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
低波动6m,6m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
低波动3m,3m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
低波动3m,3m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
动量12-1m,12m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
动量12-1m,12m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
动量6-1m,6m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
动量6-1m,6m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
动量简单12m,12m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
动量简单12m,12m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
价格均线比MA60,MA60,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
价格均线比MA60,MA60,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
价格均线比MA120,MA120,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
价格均线比MA120,MA120,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
量能趋势12-3m,12-3m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
量能趋势12-3m,12-3m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
短期反转1m,1m,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
短期反转1m,1m,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
Multi_动量+低波,动量+低波,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
Multi_动量+低波,动量+低波,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
Multi_低波+趋势,低波+趋势,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
Multi_低波+趋势,低波+趋势,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
Multi_动量+低波+趋势,动量+低波+趋势,5,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
Multi_动量+低波+趋势,动量+低波+趋势,10,0.0,,0.0,,0.0,0,2014-02-07,0.0,0.0
