entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-03-02,510170,223097,0.4481,0.4635,3374.68
2015-02-02,2015-04-01,510160,204856,0.488,0.594,21648.24
2015-02-02,2015-04-01,510230,90152,1.1089,1.268,14278.9
2015-04-01,2015-05-04,510170,62869,0.5231,0.6165,5850.47
2015-02-02,2015-06-01,159905,97058,1.03,1.392,35064.47
2015-03-02,2015-07-01,159928,33686,0.3068,0.4092,3442.21
2015-02-02,2015-09-01,159902,35703,2.8,3.171,13181.86
2015-04-01,2015-10-08,159901,14461,2.2741,1.8118,-6703.05
2015-05-04,2015-11-02,510160,39047,0.773,0.527,-9620.79
2015-10-08,2015-11-02,510230,43162,1.0093,1.0523,1829.27
2015-06-01,2016-01-04,510170,63602,0.6394,0.4468,-12270.47
2015-07-01,2016-01-04,159905,27361,1.388,1.235,-4207.76
2016-01-04,2016-02-01,159901,18823,2.277,1.7775,-9424.98
2016-01-04,2016-03-01,510160,80412,0.533,0.409,-9993.81
2016-02-01,2016-03-01,159905,37444,1.005,1.002,-134.88
2015-02-02,2016-04-01,510660,80947,1.235,1.401,13373.19
2016-04-01,2016-06-01,159905,41564,1.06,1.056,-192.64
2015-11-02,2016-08-01,159902,12723,3.6,3.228,-4759.02
2016-06-01,2016-08-01,510660,32381,1.36,1.507,4732.16
2016-08-01,2016-09-01,510160,103439,0.47,0.479,901.5
2015-09-01,2016-12-01,159928,138705,0.328,0.3803,7224.8
2016-03-01,2017-01-03,513660,50338,0.8126,1.0042,9617.32
2016-09-01,2017-01-03,159905,36629,1.197,1.175,-831.9
2016-03-01,2017-02-03,513600,24776,1.651,2.13,11839.6
2017-02-03,2017-03-01,159928,117830,0.3816,0.3977,1869.52
2015-11-02,2017-05-02,513030,51349,0.892,1.084,9828.57
2016-08-01,2017-05-02,159941,187708,0.259,0.342,15545.92
2017-03-01,2017-05-02,513660,41556,1.0865,1.1186,1306.46
2015-02-02,2017-06-01,513500,177377,0.5636,0.7776,37887.31
2017-05-02,2017-06-01,512070,101995,0.5614,0.5918,3065.36
2017-05-02,2017-07-03,510660,35345,1.62,1.702,2863.07
2017-06-01,2017-08-01,159928,142143,0.4214,0.4546,4681.79
2017-07-03,2017-08-01,512070,86678,0.6222,0.653,2636.52
2015-02-02,2017-09-01,513100,375968,0.2659,0.4043,51958.38
2017-08-01,2017-09-01,513600,25011,2.425,2.436,238.65
2015-02-02,2017-10-09,510900,89258,1.12,1.237,10380.07
