entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-03-02,518800,39342,2.541,2.465,-3049.08
2015-02-02,2015-04-01,510660,80947,1.235,1.5,21384.54
2015-03-02,2015-04-01,159902,3131,3.095,3.72,1950.47
2015-02-02,2015-05-04,159928,336146,0.2974,0.4033,35527.2
2015-02-02,2015-06-01,510900,89258,1.12,1.321,17875.49
2015-02-02,2015-07-01,510230,90152,1.1089,1.3363,20434.43
2015-04-01,2015-09-01,513500,37812,0.5824,0.585,85.07
2015-02-02,2015-10-08,159901,53164,1.8804,1.8118,-3705.94
2015-02-02,2016-01-04,510170,223097,0.4481,0.4468,-349.92
2015-10-08,2016-02-01,510230,49943,1.0093,0.9542,-2781.28
2015-02-02,2016-04-01,510160,204856,0.488,0.457,-6408.61
2016-02-01,2016-04-01,513030,65028,0.839,0.867,1787.5
2015-02-02,2016-05-03,159905,97058,1.03,1.048,1686.54
2016-04-01,2016-05-03,159939,115671,0.5541,0.5385,-1842.38
2015-05-04,2016-07-01,159902,7629,4.085,3.288,-6097.19
2015-06-01,2016-08-01,510660,20007,1.991,1.507,-9704.38
2016-08-01,2016-09-01,510230,51315,1.0521,1.1058,2722.4
2015-07-01,2016-12-01,510900,38777,1.235,1.095,-5455.89
2016-07-01,2017-01-03,159905,53182,1.065,1.175,5814.28
2016-05-03,2017-02-03,513660,76779,0.8813,1.0428,12355.49
2015-09-01,2017-03-01,159928,138147,0.328,0.3977,9598.77
2016-12-01,2017-03-01,512010,155019,0.3424,0.345,371.08
2016-04-01,2017-04-05,513600,36708,1.746,2.213,17099.04
2016-05-03,2017-05-02,513030,74768,0.905,1.084,13338.86
2017-02-03,2017-05-02,510230,49724,1.1386,1.0937,-2265.91
2017-05-02,2017-06-01,510660,40327,1.62,1.637,646.16
2016-01-04,2017-07-03,513500,88215,0.6272,0.772,12736.5
2016-09-01,2017-08-01,159941,205534,0.264,0.324,12295.78
2017-08-01,2017-09-01,510660,36865,1.64,1.684,1585.3
2015-02-02,2017-10-09,513100,375968,0.2659,0.4113,54589.37
2017-01-03,2017-10-09,510900,51199,1.055,1.237,9283.01
2017-10-09,2017-11-01,510170,145216,0.5257,0.4961,-4342.91
2017-03-01,2017-12-01,513660,56870,1.0865,1.2896,11509.76
2017-06-01,2017-12-01,510230,50164,1.1734,1.3748,10064.68
2017-03-01,2018-01-02,510160,109557,0.564,0.618,5877.23
2017-12-01,2018-01-02,510810,76508,0.989,0.968,-1651.59
2017-12-01,2018-01-02,512070,103952,0.7279,0.6992,-3027.93
2017-11-01,2018-02-01,513100,160338,0.4258,0.4518,4126.57
2015-04-01,2018-04-02,518800,9315,2.364,2.673,2864.26
2018-01-02,2018-04-02,510900,66154,1.239,1.225,-975.06
2017-09-01,2018-06-01,159905,40710,1.489,1.624,5457.83
2018-02-01,2018-06-01,159901,25483,2.5356,2.253,-7238.1
2018-04-02,2018-07-02,513050,47277,1.454,1.491,1707.48
2018-01-02,2018-08-01,510230,61163,1.3401,1.1961,-8854.01
2018-06-01,2018-08-01,510900,54087,1.245,1.194,-2798.01
2017-05-02,2018-09-03,159928,156932,0.4163,0.51,14660.92
2017-07-03,2018-09-03,513600,26037,2.296,2.536,6211.14
2018-09-03,2018-10-08,159901,36715,1.8921,1.8603,-1208.87
2017-10-09,2018-11-01,510660,44050,1.733,1.571,-7179.76
