entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-04-01,510660,80947,1.235,1.5,21384.54
2015-02-02,2015-05-04,510170,223097,0.4481,0.6165,37498.28
2015-02-02,2015-06-01,518800,39342,2.541,2.355,-7375.4
2015-02-02,2015-07-01,510230,90152,1.1089,1.3363,20434.43
2015-02-02,2015-08-03,159902,35703,2.8,3.755,34026.16
2015-07-01,2015-08-03,518800,17469,2.31,2.166,-2538.99
2015-06-01,2015-09-01,510170,49203,0.6394,0.4203,-10796.02
2015-08-03,2015-09-01,510230,48336,1.1068,0.9675,-6763.28
2015-02-02,2015-10-08,159901,53164,1.8804,1.8118,-3705.94
2015-09-01,2015-11-02,159902,15622,3.171,3.6,6670.11
2015-11-02,2015-12-01,159901,24718,2.0209,2.0899,1675.06
2015-12-01,2016-01-04,513030,54776,0.915,0.913,-139.59
2015-08-03,2016-02-01,510900,49535,1.08,0.851,-11372.21
2015-10-08,2016-02-01,510230,48804,1.0093,0.9542,-2717.85
2015-02-02,2016-03-01,510160,204856,0.488,0.409,-16238.75
2016-01-04,2016-04-01,159902,12782,3.92,3.2,-9230.34
2016-02-01,2016-04-01,159901,30359,1.7775,1.8995,3670.31
2016-03-01,2016-04-01,510230,55513,0.9285,1.0381,6051.47
2016-04-01,2016-05-03,510160,135667,0.457,0.45,-986.58
2015-05-04,2016-07-01,510660,14258,1.73,1.395,-4789.8
2016-05-03,2016-09-01,510230,47818,1.0352,1.1058,3345.24
2015-02-02,2016-10-10,159905,97058,1.03,1.183,14785.44
2016-07-01,2016-10-10,510900,49934,0.932,1.059,6311.79
2016-10-10,2016-11-01,510230,54224,1.092,1.1026,539.07
2016-11-01,2017-02-03,159905,44678,1.194,1.193,-76.67
2015-04-01,2017-03-01,513500,20836,0.5824,0.7695,3889.97
2015-09-01,2017-04-05,518800,21234,2.333,2.776,9374.12
2016-04-01,2017-05-02,513600,35509,1.746,2.229,17108.5
2017-03-01,2017-06-01,510900,43783,1.133,1.15,714.32
2017-06-01,2017-07-03,518800,19164,2.77,2.71,-1181.35
2016-09-01,2017-08-01,159941,178674,0.264,0.324,10688.92
2016-02-01,2017-10-09,513030,64318,0.839,1.144,19578.73
2016-10-10,2017-10-09,512010,176702,0.3351,0.4008,11570.31
2017-10-09,2017-11-01,518800,22759,2.748,2.71,-902.11
2017-10-09,2017-11-01,159941,190680,0.328,0.341,2440.57
2017-11-01,2017-12-01,510810,58815,1.066,0.989,-4565.01
2017-12-01,2018-01-02,512010,135851,0.412,0.4399,3755.52
2017-11-01,2018-02-01,513030,53770,1.166,1.176,499.92
2015-02-02,2018-03-01,513100,375968,0.2659,0.4459,67593.96
2018-01-02,2018-03-01,518800,20753,2.715,2.673,-905.17
2018-03-01,2018-04-02,513030,66994,1.099,1.064,-2388.26
2018-03-01,2018-04-02,510900,58666,1.255,1.225,-1803.63
2017-08-01,2018-05-02,159905,36414,1.468,1.598,4700.33
2018-04-02,2018-05-02,513100,171085,0.4279,0.4369,1495.38
2017-04-05,2018-06-01,510160,89445,0.565,0.562,-298.58
2018-02-01,2018-06-01,159901,22492,2.5356,2.253,-6388.55
2018-05-02,2018-06-01,518800,26910,2.67,2.66,-312.13
2018-05-02,2018-07-02,513030,66406,1.082,1.055,-1835.53
2017-02-03,2018-08-01,510230,46845,1.1386,1.1961,2660.78
2018-07-02,2018-08-01,159901,28337,2.0929,2.0659,-800.45
2015-02-02,2018-10-08,159928,336146,0.2974,0.5463,83581.66
2018-04-02,2018-10-08,512010,151757,0.4824,0.437,-6931.63
2017-05-02,2018-11-01,510660,32958,1.62,1.571,-1646.49
2018-11-01,2018-12-03,510160,134644,0.495,0.493,-309.2
2018-12-03,2019-01-02,510230,55024,1.2107,0.9976,-11762.07
2019-01-02,2019-03-01,510810,85882,0.762,0.888,10778.62
2018-08-01,2019-05-06,513030,56568,1.146,1.008,-7842.94
2018-10-08,2019-05-06,510900,66016,1.164,1.211,3055.72
2016-04-01,2019-06-03,513660,70833,0.8753,1.251,26566.77
2019-05-06,2019-07-01,510810,76303,0.964,0.956,-654.37
2019-06-03,2019-07-01,510900,59127,1.145,1.22,4392.57
2019-07-01,2019-08-01,513660,56531,1.3343,1.2901,-2543.18
2019-07-01,2019-08-01,513030,71770,1.051,1.021,-2197.71
2017-07-03,2019-09-02,513600,23069,2.296,2.55,5825.99
2018-06-01,2019-09-02,159941,200331,0.373,0.44,13373.32
2019-09-02,2019-10-08,510900,63970,1.167,1.183,978.42
2019-09-02,2019-10-08,510160,135734,0.55,0.548,-316.18
2018-06-01,2019-11-01,513100,163009,0.4584,0.5761,19135.57
2019-08-01,2019-12-02,510810,77675,0.965,0.89,-5868.85
2018-10-08,2020-01-02,512800,157788,0.487,0.5745,13756.2
2019-11-01,2020-01-02,510300,20419,3.387,3.629,4898.42
2019-12-02,2020-01-02,159928,92650,0.7464,0.7773,2820.53
2019-12-02,2020-01-02,512200,30629,2.2578,2.5332,8391.2
2019-10-08,2020-02-03,159901,32674,2.2868,2.3465,1905.22
2018-08-01,2020-03-02,518800,24426,2.654,3.518,21058.84
2019-08-01,2020-03-02,510050,28884,2.595,2.526,-2037.37
2020-01-02,2020-03-02,513030,77863,1.114,1.038,-5967.86
2020-02-03,2020-03-02,510300,21111,3.239,3.457,4559.79
2019-05-06,2020-04-01,159905,41070,1.791,1.754,-1563.27
2020-03-02,2020-04-01,513050,64845,1.431,1.425,-444.63
2020-03-02,2020-04-01,159928,123939,0.7487,0.7867,4652.59
2020-01-02,2020-05-06,159941,175233,0.495,0.536,7130.35
2020-01-02,2020-05-06,513100,138607,0.6258,0.7286,14192.48
2020-03-02,2020-05-06,159901,35210,2.6354,2.5806,-1984.6
2020-04-01,2020-05-06,510660,39258,2.085,2.224,5406.11
2020-04-01,2020-05-06,159915,45525,1.798,1.98,8233.95
2018-06-01,2020-06-01,513500,91093,0.8203,1.0327,19297.51
2020-05-06,2020-06-01,513660,79852,1.1948,1.1737,-1741.62
2020-05-06,2020-07-01,513050,64727,1.474,1.846,24013.98
2020-05-06,2020-07-01,159928,114549,0.8329,0.9493,13272.26
2020-06-01,2020-07-01,510900,66387,1.145,1.141,-311.08
2019-10-08,2020-08-03,512390,70757,1.056,1.335,19690.45
2020-05-06,2020-08-03,512800,189829,0.5026,0.5257,4326.49
2020-07-01,2020-08-03,159915,38590,2.363,2.734,14257.88
2020-07-01,2020-08-03,510170,223779,0.4075,0.5279,26880.19
2020-07-01,2020-08-03,513100,122435,0.7448,0.7702,3054.2
2020-08-03,2020-09-01,159901,30992,3.417,3.4449,800.88
2020-09-01,2020-10-09,512910,55423,1.339,1.323,-931.03
2020-08-03,2020-11-02,159928,93003,1.1387,1.1512,1098.65
2020-08-03,2020-12-01,512290,44034,2.405,1.829,-25419.52
2020-03-02,2021-01-04,512010,185735,0.4996,0.7799,51990.23
2020-12-01,2021-01-04,159928,66474,1.1691,1.334,10911.65
2020-04-01,2021-02-01,512890,156092,0.5244,0.6295,16351.23
2020-07-01,2021-02-01,512260,71353,1.278,1.322,3083.88
2020-08-03,2021-02-01,513050,54087,1.958,2.336,20375.21
2021-01-04,2021-02-01,159905,33995,2.744,2.845,3376.5
2021-01-04,2021-02-01,515300,86134,1.083,1.083,-55.97
2019-03-01,2021-03-01,518880,23530,2.827,3.572,17484.68
2020-04-01,2021-03-01,518800,23481,3.486,3.542,1265.43
2020-10-09,2021-03-01,510170,145531,0.5093,0.6613,22069.6
2021-02-01,2021-03-01,512010,155636,0.8063,0.7966,-1584.51
2020-06-01,2021-04-01,510660,32484,2.34,3.103,24732.25
2021-02-01,2021-04-01,159928,92251,1.3603,1.2388,-11280.43
2021-02-01,2021-04-01,159901,31252,4.0154,3.6643,-11044.58
2021-03-01,2021-04-01,512770,46183,2.197,1.994,-9433.21
2021-03-01,2021-04-01,512870,53971,1.88,1.763,-6373.59
2021-02-01,2021-05-06,159985,98577,1.273,1.301,2684.03
2021-03-01,2021-05-06,510160,140728,0.721,0.707,-2030.48
2021-03-01,2021-05-06,515080,79518,1.276,1.359,6537.14
2021-04-01,2021-05-06,510130,20452,5.502,5.561,1138.79
2021-04-01,2021-05-06,512890,162266,0.6935,0.7023,1359.99
2021-04-01,2021-05-06,515150,93776,1.2,1.19,-1005.0
2021-04-01,2021-05-06,512750,97262,1.157,1.117,-3956.83
2020-11-02,2021-06-01,512910,58420,1.325,1.534,12159.67
2021-02-01,2021-06-01,515800,94495,1.328,1.347,1719.57
2021-05-06,2021-06-01,513800,114742,1.173,1.153,-2374.91
2021-05-06,2021-06-01,510500,18677,7.206,7.473,4904.51
2021-05-06,2021-06-01,515450,115037,1.17,1.196,2909.31
2021-05-06,2021-07-01,513520,105233,1.279,1.234,-4814.82
2021-06-01,2021-07-01,515590,70291,1.465,1.475,640.91
2021-05-06,2021-08-02,513000,103933,1.295,1.202,-9743.63
2021-05-06,2021-08-02,513030,108455,1.241,1.229,-1381.83
2021-06-01,2021-08-02,159996,71911,1.432,1.265,-12067.32
2021-07-01,2021-08-02,512910,50153,1.492,1.332,-8066.97
2021-06-01,2021-09-01,512890,137083,0.7512,0.7785,3679.46
2021-08-02,2021-09-01,510130,17839,5.686,6.2,9105.64
2021-08-02,2021-09-01,510160,150276,0.675,0.75,11206.46
2021-05-06,2021-10-08,159981,108368,1.242,1.85,65787.22
2021-08-02,2021-10-08,515150,82873,1.224,1.331,8803.89
2021-04-01,2021-11-01,159980,89524,1.257,1.449,17115.93
2021-09-01,2021-11-01,511380,8416,11.15,11.089,-569.53
2021-10-08,2021-11-01,513030,81168,1.192,1.199,509.95
2021-10-08,2021-11-01,159941,128831,0.751,0.786,4449.68
2021-06-01,2021-12-01,515080,71462,1.441,1.434,-561.87
2021-11-01,2021-12-01,512890,158121,0.756,0.749,-1178.24
2021-11-01,2021-12-01,515150,92882,1.287,1.25,-3507.33
2021-07-01,2022-01-04,515450,61841,1.21,1.241,1871.6
2021-11-01,2022-01-04,512950,91812,1.302,1.367,5894.27
2021-08-02,2022-02-07,513080,78208,1.297,1.27,-2171.84
2021-12-01,2022-03-01,159941,130937,0.805,0.69,-15116.48
2022-01-04,2022-03-01,513300,70569,1.332,1.128,-14448.16
2022-02-07,2022-03-01,513100,89794,0.948,0.914,-3103.15
2021-12-01,2022-04-01,510500,12953,8.137,7.055,-14074.18
2022-01-04,2022-04-01,515590,57176,1.644,1.457,-10745.1
2022-03-01,2022-04-01,515080,70013,1.454,1.473,1268.77
2021-06-01,2022-05-05,512040,121837,0.8452,0.8652,2374.22
2021-11-01,2022-05-05,512260,76923,1.554,1.369,-14298.21
2022-03-01,2022-05-05,515450,82966,1.227,1.199,-2383.43
2022-04-01,2022-06-01,512890,118027,0.839,0.84,58.58
2021-09-01,2022-07-01,513500,66543,1.4103,1.196,-14312.19
2022-06-01,2022-10-10,510160,111761,0.717,0.664,-5969.64
2022-10-10,2022-12-01,512750,77847,1.021,1.078,4388.26
2022-07-01,2023-01-03,512890,94203,0.85,0.819,-2967.46
2023-01-03,2023-02-01,510880,27807,2.864,2.809,-1576.71
2022-12-01,2023-03-01,515450,65941,1.212,1.212,-47.95
2021-12-01,2023-04-03,511380,9086,11.6,11.282,-2951.72
2023-02-01,2023-04-03,512750,71093,1.118,1.118,-47.69
2022-05-05,2023-05-04,518860,25262,3.971,4.413,11102.27
2023-04-03,2023-05-04,515080,61477,1.46,1.524,3879.49
2023-04-03,2023-05-04,510880,31014,2.894,3.052,4844.89
2023-03-01,2023-06-01,512890,91089,0.873,0.918,4050.06
2023-05-04,2023-06-01,515450,74941,1.358,1.337,-1634.35
2023-05-04,2023-06-01,517180,72641,1.401,1.328,-5362.26
2023-06-01,2023-07-03,512950,77905,1.274,1.304,2276.9
2023-06-01,2023-07-03,513800,84397,1.176,1.247,5930.84
2023-05-04,2023-08-01,515900,70429,1.445,1.447,79.75
2023-07-03,2023-09-01,512260,57675,1.563,1.537,-1553.19
2023-08-01,2023-09-01,513800,65632,1.254,1.26,344.29
2023-09-01,2023-10-09,159980,57865,1.576,1.545,-1847.99
2023-10-09,2023-11-01,512890,86384,0.948,0.922,-2294.45
2023-07-03,2023-12-01,515450,66187,1.362,1.339,-1575.93
2021-09-01,2024-01-02,515100,68102,1.378,1.275,-7068.71
2022-03-01,2024-03-01,515300,85906,1.185,1.378,16513.8
