entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-03-02,510170,446195,0.4481,0.4635,6749.38
2015-02-02,2015-05-04,510230,180304,1.1089,1.4185,55685.41
2015-02-02,2015-05-04,159905,194116,1.03,1.394,70517.06
2015-05-04,2015-06-01,510170,224297,0.6165,0.6394,5051.89
2015-02-02,2015-07-01,159901,106328,1.8804,2.5713,73320.01
2015-02-02,2015-08-03,510160,409713,0.488,0.572,34285.6
2015-03-02,2015-08-03,159902,13356,3.095,3.755,8787.51
2015-07-01,2015-08-03,159905,103713,1.388,1.155,-24244.25
2015-05-04,2015-09-01,510660,79930,1.73,1.411,-25572.99
2015-06-01,2015-09-01,159928,252965,0.4413,0.328,-28719.32
2015-08-03,2015-12-01,513600,99378,1.972,1.861,-11145.23
2015-09-01,2015-12-01,518800,50371,2.333,2.174,-8077.1
2015-08-03,2016-01-04,513500,327606,0.5982,0.6272,9380.14
2015-09-01,2016-01-04,513030,134305,0.875,0.913,5031.55
2015-12-01,2016-01-04,159902,34106,3.793,3.92,4252.54
2015-12-01,2016-02-01,159939,192022,0.6737,0.5048,-32500.41
2016-01-04,2016-02-01,159905,137588,1.235,1.005,-31737.7
2016-01-04,2016-02-01,510660,99954,1.7,1.279,-42169.96
2016-01-04,2016-02-01,159901,74625,2.277,1.7775,-37365.96
2016-02-01,2016-04-01,159941,726299,0.23,0.238,5708.42
2015-08-03,2016-05-03,513100,655213,0.2991,0.2942,-3327.17
2016-04-01,2016-05-03,159928,203232,0.3344,0.3293,-1076.95
2016-02-01,2016-06-01,518800,71297,2.343,2.555,15010.2
2016-02-01,2016-07-01,513500,282368,0.5916,0.6556,17965.9
2016-02-01,2016-07-01,513030,199104,0.839,0.86,4079.7
2016-05-03,2016-07-01,513600,59438,1.788,1.821,1897.1
2016-06-01,2016-07-01,513100,324930,0.3083,0.302,-2106.55
2016-05-03,2016-08-01,513660,120589,0.8813,0.9545,8760.7
2016-07-01,2016-08-01,518800,68400,2.816,2.859,2824.75
2016-07-01,2016-08-01,159939,330445,0.5829,0.5614,-7218.01
2016-07-01,2016-08-01,510900,206670,0.932,0.967,7115.71
2016-07-01,2016-09-01,159928,549234,0.3507,0.3724,11799.23
2016-08-01,2016-09-01,513500,246146,0.7217,0.7141,-1976.73
2016-08-01,2016-09-01,510660,117879,1.507,1.525,2014.6
2016-08-01,2016-10-10,512010,552892,0.3213,0.3351,7521.03
2016-09-01,2016-10-10,159905,123205,1.197,1.183,-1812.84
2016-10-10,2016-11-01,159941,463542,0.27,0.273,1315.12
2016-08-01,2016-12-01,513600,91805,1.935,2.098,14853.14
2016-09-01,2016-12-01,513660,147300,1.0012,1.0383,5374.7
2016-09-01,2016-12-01,510900,144302,1.022,1.095,10442.4
2016-11-01,2016-12-01,510170,244431,0.4107,0.4353,5950.97
2016-12-01,2017-01-03,159905,157010,1.288,1.175,-17858.14
2016-12-01,2017-01-03,512070,326967,0.6185,0.5702,-15909.11
2016-10-10,2017-02-03,513500,169957,0.7364,0.7354,-245.0
2017-01-03,2017-03-01,513030,116567,0.983,0.999,1795.76
2016-12-01,2017-04-05,510160,362418,0.558,0.565,2414.83
2017-02-03,2017-04-05,510900,87032,1.077,1.137,5164.11
2016-12-01,2017-06-01,159941,707095,0.286,0.329,30274.63
2017-03-01,2017-06-01,159928,247079,0.3977,0.4214,5795.06
2017-01-03,2017-07-03,513100,324514,0.3531,0.3933,12972.8
2017-04-05,2017-07-03,513030,132181,1.054,1.103,6391.33
2017-06-01,2017-07-03,513600,65212,2.314,2.296,-1264.0
2017-06-01,2017-07-03,513660,130797,1.1537,1.1512,-417.43
2017-04-05,2017-08-01,512010,374412,0.3721,0.3909,6953.24
2017-07-03,2017-08-01,159901,93651,2.1913,2.1982,522.87
2017-07-03,2017-08-01,510660,120574,1.702,1.64,-7596.48
2017-07-03,2017-09-01,159905,140368,1.462,1.489,3665.67
2017-08-01,2017-10-09,510230,117450,1.2854,1.3242,4465.11
2017-08-01,2017-11-01,510170,305546,0.4941,0.4961,520.33
2017-08-01,2017-11-01,512070,231195,0.653,0.6992,10587.42
2017-09-01,2017-11-01,513050,72354,1.412,1.473,4350.97
2017-10-09,2017-12-01,159902,30483,3.701,3.642,-1865.65
2017-11-01,2017-12-01,159901,70501,2.4704,2.3896,-5799.27
2017-11-01,2017-12-01,510660,93137,1.87,1.82,-4759.95
2017-12-01,2018-01-02,512070,219004,0.7279,0.6992,-6379.18
2017-12-01,2018-01-02,513050,106417,1.498,1.495,-414.8
2017-12-01,2018-01-02,510230,115953,1.3748,1.3401,-4118.01
2018-01-02,2018-02-01,510660,83191,1.89,1.88,-926.0
2018-01-02,2018-02-01,512010,357425,0.4399,0.4352,-1773.73
2018-01-02,2018-02-01,513660,111948,1.4045,1.3764,-3239.13
2018-02-01,2018-03-01,510900,110669,1.41,1.255,-17242.17
2018-02-01,2018-03-01,510230,106239,1.4688,1.3276,-15090.07
2017-07-03,2018-04-02,159928,447390,0.4587,0.5509,41113.85
2017-11-01,2018-04-02,159905,105300,1.654,1.656,106.04
2018-02-01,2018-04-02,512800,271617,0.5745,0.4996,-20431.64
2018-03-01,2018-04-02,159941,333438,0.355,0.342,-4404.42
2018-03-01,2018-04-02,513100,265464,0.4459,0.4279,-4847.94
2018-04-02,2018-05-02,159939,404623,0.5629,0.5287,-13970.61
2018-04-02,2018-06-01,159949,310303,0.734,0.633,-31467.86
2018-04-02,2018-06-01,518800,85208,2.673,2.66,-1244.03
2018-06-01,2018-07-02,159928,188977,0.6285,0.5749,-10197.39
2018-04-02,2018-08-01,512010,472145,0.4824,0.4806,-986.26
2018-04-02,2018-08-01,510660,111375,2.045,1.96,-9600.69
2018-08-01,2018-09-03,513600,62355,2.62,2.536,-5334.27
2018-08-01,2018-10-08,513030,142557,1.146,1.09,-8078.82
2018-09-03,2018-10-08,513660,101623,1.2756,1.2415,-3542.08
2018-05-02,2018-11-01,513100,97871,0.4369,0.4942,5580.67
2018-06-01,2018-11-01,159941,318424,0.373,0.393,6295.31
2018-07-02,2018-11-01,513500,109219,0.8513,0.8914,4322.58
2018-10-08,2018-11-01,510050,72685,2.201,2.121,-5909.04
2018-11-01,2019-01-02,510230,146680,1.2336,0.9976,-34714.66
2018-11-01,2019-01-02,512070,308410,0.5867,0.5499,-11454.65
2019-01-02,2019-02-01,513600,39830,2.494,2.521,1015.49
2019-01-02,2019-02-01,512200,52098,1.9067,2.0066,5143.43
2018-10-08,2019-03-01,512800,328503,0.487,0.5242,12120.66
2018-11-01,2019-03-01,518800,67190,2.693,2.811,7817.48
2018-11-01,2019-03-01,518880,66474,2.722,2.827,6869.11
2019-02-01,2019-03-01,159928,200494,0.5016,0.5766,14972.2
2019-03-01,2019-04-01,512070,273627,0.706,0.7536,12904.83
2019-03-01,2019-04-01,512980,238790,0.809,0.88,16833.1
2019-03-01,2019-05-06,159939,407985,0.4735,0.457,-6845.64
2019-04-01,2019-05-06,512100,64989,1.875,1.686,-12352.35
2019-05-06,2019-06-03,510300,41017,3.225,3.092,-5532.99
2019-03-01,2019-07-01,159901,92391,2.0909,2.2305,12778.01
2019-02-01,2019-08-01,159905,70228,1.432,1.869,30620.09
2019-05-06,2019-08-01,512070,173347,0.7631,0.7671,613.81
2019-06-03,2019-08-01,510050,43870,2.387,2.595,9059.39
2019-08-01,2019-09-02,513100,318994,0.5503,0.5544,1202.16
2019-08-01,2019-09-02,159941,403546,0.435,0.44,1911.8
2019-04-01,2019-10-08,159928,182910,0.6662,0.7454,14409.01
2019-07-01,2019-11-01,518880,40972,3.05,3.396,14097.08
2019-08-01,2019-11-01,518800,56480,3.108,3.363,14292.76
2019-09-02,2019-12-02,512010,304593,0.4631,0.478,4452.44
2019-09-02,2019-12-02,510660,77080,1.83,1.845,1071.22
2019-10-08,2019-12-02,159939,217847,0.5136,0.516,455.54
2019-11-01,2019-12-02,159901,65601,2.3671,2.3505,-1181.82
2019-12-02,2020-01-02,159941,417154,0.489,0.495,2379.78
2019-12-02,2020-01-02,513100,337115,0.6051,0.6258,6853.79
2019-12-02,2020-01-02,513500,192605,1.0591,1.0739,2727.31
2019-12-02,2020-02-03,513050,154302,1.322,1.382,9132.95
2020-01-02,2020-02-03,512400,224366,0.738,0.65,-19837.63
2020-01-02,2020-02-03,512980,197121,0.84,0.79,-9952.44
2020-02-03,2020-03-02,513100,262181,0.6451,0.6694,6267.61
2019-11-01,2020-04-01,159949,264993,0.586,0.694,28517.49
2020-01-02,2020-04-01,512480,224275,0.7383,0.8012,14003.32
2020-02-03,2020-04-01,159939,301002,0.5619,0.5541,-2448.59
2020-02-03,2020-04-01,159915,101277,1.67,1.798,12858.09
2020-03-02,2020-04-01,515000,137123,0.7492,0.6423,-14715.69
2020-04-01,2020-05-06,510660,116163,2.085,2.224,15996.49
2020-04-01,2020-05-06,518880,69101,3.505,3.748,16641.19
2020-04-01,2020-05-06,518800,69478,3.486,3.71,15413.08
2020-04-01,2020-05-06,513050,169965,1.425,1.474,8180.47
2020-05-06,2020-06-01,159949,264520,0.775,0.793,4636.93
2020-05-06,2020-06-01,159941,382469,0.536,0.529,-2799.48
2020-05-06,2020-07-01,510500,35529,5.77,6.414,22750.81
2020-05-06,2020-07-01,513100,281366,0.7286,0.7448,4433.76
2020-04-01,2020-09-01,512290,178088,1.36,2.162,142638.41
2020-06-01,2020-09-01,510660,52722,2.34,3.178,44093.76
2020-07-01,2020-09-01,159949,170135,0.949,1.074,21163.62
2020-07-01,2020-09-01,512010,244634,0.66,0.7573,23698.87
2020-09-01,2020-10-09,159928,226495,1.2401,1.1298,-25143.43
2020-09-01,2020-11-02,513100,284058,0.9888,0.831,-44979.43
2020-09-01,2020-11-02,159941,403559,0.696,0.599,-39302.01
2020-09-01,2020-11-02,512710,359730,0.7808,0.7168,-23184.34
2020-11-02,2020-12-01,513050,107923,2.158,2.092,-7260.52
2020-11-02,2020-12-01,159996,181244,1.285,1.344,10550.45
2020-12-01,2021-01-04,510170,314616,0.5943,0.6046,3127.39
2020-12-01,2021-01-04,515220,291241,0.642,0.646,1052.43
2021-01-04,2021-02-01,512710,198323,0.947,0.8739,-14605.75
2020-06-01,2021-03-01,512690,178099,0.6927,1.2793,104367.51
2020-10-09,2021-03-01,515700,75580,1.42,1.987,42776.61
2020-11-02,2021-03-01,515030,186468,1.249,1.541,54292.58
2021-01-04,2021-03-01,512580,151217,1.242,1.24,-415.03
2021-02-01,2021-03-01,512770,64112,2.298,2.197,-6561.77
2021-03-01,2021-04-01,512400,276170,1.146,1.013,-36909.49
2021-03-01,2021-04-01,159980,240494,1.316,1.257,-14374.78
2021-03-01,2021-04-01,510170,478588,0.6613,0.6242,-17940.18
2021-03-01,2021-04-01,512170,391696,0.808,0.758,-19768.82
2021-04-01,2021-05-06,515450,194224,1.212,1.17,-8296.2
2021-04-01,2021-05-06,513080,196166,1.2,1.258,11232.98
2021-04-01,2021-05-06,513030,196002,1.201,1.241,7696.49
2021-04-01,2021-06-01,515210,164961,1.427,1.549,19977.96
2021-05-06,2021-06-01,515960,126963,1.5,1.54,4962.73
2021-05-06,2021-06-01,159980,138304,1.377,1.381,438.78
2021-03-01,2021-07-01,159981,288505,1.097,1.265,48264.41
2021-05-06,2021-07-01,512170,224582,0.848,0.942,20990.11
2021-06-01,2021-07-01,159949,142516,1.435,1.54,14836.98
2021-07-01,2021-08-02,512580,157250,1.532,1.71,27837.56
2021-06-01,2021-09-01,515700,85533,2.391,3.215,70335.34
2021-06-01,2021-09-01,515030,108840,1.879,2.49,66358.58
2021-07-01,2021-09-01,512480,180319,1.336,1.295,-7535.4
2021-07-01,2021-09-01,159995,152087,1.584,1.646,9282.02
2021-09-01,2021-10-08,512400,194471,1.676,1.407,-52492.57
2021-09-01,2021-10-08,510170,329893,0.988,0.9193,-22852.41
2021-09-01,2021-11-01,515220,289154,1.1272,0.9588,-48874.49
2021-10-08,2021-11-01,159981,97565,1.85,1.56,-28393.66
2021-08-02,2021-12-01,515790,92832,1.617,1.768,13923.36
2021-10-08,2021-12-01,512580,99173,1.82,1.915,9310.31
2021-11-01,2021-12-01,515030,73536,2.64,2.67,2088.94
2021-09-01,2022-01-04,516160,71081,4.5854,4.4086,-12758.91
2021-11-01,2022-01-04,515700,57778,3.36,3.108,-14672.17
2021-12-01,2022-01-04,516150,138105,1.64,1.524,-16151.27
2021-12-01,2022-01-04,512660,154181,1.469,1.456,-2139.65
2021-12-01,2022-02-07,516520,183692,1.233,1.133,-18499.58
2022-01-04,2022-02-07,159869,249157,1.108,0.924,-45996.77
2022-01-04,2022-02-07,512980,321007,0.86,0.729,-42204.94
2022-01-04,2022-02-07,516010,248708,1.11,0.92,-47405.98
2022-01-04,2022-03-01,159865,306060,0.902,0.858,-13628.24
2022-02-07,2022-03-01,159766,224346,1.049,1.016,-7542.4
2022-02-07,2022-04-01,159981,136825,1.72,1.703,-2466.53
2022-03-01,2022-04-01,518860,38008,3.818,3.876,2116.73
2022-03-01,2022-04-01,518880,38421,3.777,3.85,2716.82
2022-04-01,2022-05-05,512200,82852,2.3253,2.1551,-14212.77
2022-04-01,2022-05-05,515100,122167,1.577,1.505,-8908.98
2022-02-07,2022-06-01,159980,151052,1.558,1.621,9372.22
2022-05-05,2022-06-01,518800,38412,3.892,3.82,-2854.53
2022-05-05,2022-06-01,518880,38080,3.926,3.846,-3135.19
2022-02-07,2022-07-01,159985,169065,1.392,1.549,26394.04
2022-04-01,2022-07-01,515220,169652,1.1356,1.2215,14453.14
2022-06-01,2022-07-01,159981,114279,1.726,1.605,-13941.96
2022-06-01,2022-07-01,512890,234818,0.84,0.85,2229.13
2022-06-01,2022-07-01,518860,50576,3.9,3.85,-2646.39
2022-07-01,2022-08-01,159755,229595,1.255,1.181,-17157.82
2022-07-01,2022-08-01,515030,123085,2.341,2.228,-14077.32
2022-07-01,2022-08-01,515700,95285,3.024,2.879,-13985.07
2022-07-01,2022-08-01,516160,67677,4.2576,4.1483,-7567.76
2022-07-01,2022-09-01,515790,169995,1.695,1.605,-15467.85
2022-08-01,2022-09-01,516110,175826,1.251,1.094,-27728.38
2022-08-01,2022-09-01,561910,239086,0.92,0.848,-17341.0
2022-08-01,2022-09-01,516520,204804,1.074,0.952,-25110.57
2022-09-01,2022-10-10,159605,267248,0.81,0.694,-31121.35
2022-09-01,2022-10-10,159607,264959,0.817,0.698,-31650.54
2022-09-01,2022-10-10,159865,247396,0.875,0.811,-15958.48
2022-09-01,2022-11-01,515220,170356,1.2707,1.1247,-24994.4
2022-10-10,2022-11-01,510880,53169,2.961,2.748,-11416.06
2022-10-10,2022-11-01,159766,162472,0.969,0.91,-9677.43
2022-11-01,2022-12-01,159852,187386,0.854,0.83,-4591.93
2022-11-01,2022-12-01,516510,200035,0.8,0.805,903.86
2022-11-01,2022-12-01,515400,214227,0.747,0.747,-96.02
2022-12-01,2023-01-03,513030,147337,1.081,1.031,-7460.2
2022-12-01,2023-01-03,513080,121119,1.315,1.261,-6634.03
2022-12-01,2023-01-03,512200,74652,2.1335,1.931,-15208.06
2022-10-10,2023-02-01,159985,88646,1.776,1.986,18515.61
2023-01-03,2023-02-01,159792,215467,0.712,0.746,7231.63
2023-01-03,2023-02-01,159766,136004,1.128,1.081,-6482.32
2023-01-03,2023-02-01,513060,257836,0.595,0.625,7640.71
2023-02-01,2023-03-01,159605,217711,0.874,0.78,-20572.86
2023-02-01,2023-03-01,159607,216226,0.88,0.781,-21514.12
2022-08-01,2023-04-03,513360,533882,0.412,0.562,79926.3
2023-02-01,2023-04-03,515400,226253,0.841,1.057,48741.82
2023-02-01,2023-05-04,516510,211187,0.901,1.148,52033.37
2023-04-03,2023-06-01,159725,185711,0.922,0.927,825.54
2023-05-04,2023-06-01,517180,107919,1.401,1.328,-7966.44
2023-04-03,2023-07-03,512980,204326,0.838,0.895,11540.35
2023-06-01,2023-07-03,159941,237435,0.775,0.84,15318.24
2023-03-01,2023-08-01,159869,117242,0.902,1.203,35215.8
2023-03-01,2023-08-01,516010,118557,0.892,1.192,35492.98
2023-07-03,2023-08-01,515880,414429,0.4508,0.4014,-20578.75
2023-08-01,2023-09-01,513130,325458,0.62,0.573,-15413.01
2023-08-01,2023-09-01,513010,319278,0.632,0.589,-13845.91
2023-06-01,2023-10-09,513300,143535,1.282,1.364,11655.93
2023-07-03,2023-10-09,513100,167405,1.116,1.099,-2957.13
2023-08-01,2023-10-09,159941,232202,0.869,0.828,-9638.5
2023-09-01,2023-11-01,159981,91408,1.702,1.608,-8683.12
2023-10-09,2023-11-01,515220,184656,1.1247,1.0875,-6991.75
2023-10-09,2023-11-01,513360,362448,0.573,0.574,237.73
2023-10-09,2023-11-01,513800,170231,1.22,1.204,-2847.49
2023-09-01,2023-12-01,159985,66062,2.355,2.218,-9141.12
2023-11-01,2023-12-01,513120,264800,0.888,0.871,-4641.33
2023-11-01,2023-12-01,517380,366836,0.641,0.629,-4541.8
2023-11-01,2023-12-01,515120,357903,0.657,0.659,574.51
2023-11-01,2024-01-02,512290,200976,1.17,1.143,-5565.81
