entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-05-04,510160,204856,0.488,0.773,58306.46
2015-02-02,2015-06-01,159902,35703,2.8,5.13,83103.05
2015-02-02,2015-07-01,510660,80947,1.235,1.806,46146.89
2015-02-02,2015-07-01,159901,53164,1.8804,2.5713,36660.01
2015-02-02,2015-08-03,159928,336146,0.2974,0.3579,20270.75
2015-02-02,2015-09-01,159905,97058,1.03,1.005,-2485.7
2015-09-01,2015-10-08,159928,189076,0.328,0.3395,2136.51
2015-05-04,2015-11-02,510170,25671,0.6165,0.4246,-4934.28
2015-10-08,2015-11-02,510160,125465,0.496,0.527,3850.91
2015-07-01,2015-12-01,510230,43078,1.3363,1.1026,-10098.85
2015-12-01,2016-02-01,510160,106116,0.525,0.419,-11278.35
2015-07-01,2016-06-01,510900,46611,1.235,0.9,-15644.54
2015-06-01,2016-07-01,513660,30040,1.0835,0.8873,-5911.61
2015-08-03,2016-07-01,513600,29450,1.972,1.821,-4480.46
2016-06-01,2016-09-01,159905,50490,1.056,1.197,7084.96
2015-02-02,2016-12-01,513500,177377,0.5636,0.8467,50140.38
2015-02-02,2016-12-01,513100,375968,0.2659,0.3486,31023.24
2015-02-02,2016-12-01,518800,39342,2.541,2.64,3833.71
2015-11-02,2016-12-01,159941,257915,0.247,0.286,10017.44
2016-07-01,2017-01-03,510160,126718,0.442,0.532,11367.59
2016-12-01,2017-01-03,159939,157970,0.58,0.5302,-7919.52
2016-12-01,2017-01-03,159905,71135,1.288,1.175,-8090.82
2016-12-01,2017-02-03,159901,43153,2.1232,1.9435,-7807.24
2016-02-01,2017-03-01,512010,180441,0.3025,0.345,7633.69
2016-12-01,2017-03-01,159902,27647,3.314,3.181,-3730.92
2017-02-03,2017-03-01,510160,115276,0.549,0.564,1690.65
2015-11-02,2017-04-05,159928,186108,0.3423,0.4212,14641.29
2017-03-01,2017-04-05,513100,206164,0.3806,0.391,2096.38
2015-02-02,2017-05-02,513030,104900,0.953,1.084,13677.8
2017-04-05,2017-06-01,159902,21776,3.252,3.082,-3743.3
2017-01-03,2017-07-03,512070,137557,0.5702,0.6222,7103.76
2017-05-02,2017-07-03,159939,129979,0.5233,0.5258,284.04
2016-07-01,2017-08-01,510230,54183,1.0337,1.2854,13600.16
2017-06-01,2017-08-01,159928,161185,0.4214,0.4546,5308.98
2017-07-03,2017-09-01,510900,67772,1.129,1.214,5712.98
2016-09-01,2017-10-09,510660,33342,1.525,1.733,6902.55
2017-10-09,2017-11-01,512010,168493,0.4008,0.4329,5366.48
2017-11-01,2017-12-01,510660,36400,1.87,1.82,-1860.29
2017-12-01,2018-01-02,510230,49376,1.3748,1.3401,-1753.56
2018-01-02,2018-02-01,512800,132344,0.5116,0.5745,8281.32
2017-08-01,2018-03-01,159941,233011,0.324,0.355,7175.88
2017-08-01,2018-03-01,513100,186363,0.4051,0.4459,7556.03
2017-03-01,2018-04-02,513600,36026,2.178,2.522,12342.15
2018-03-01,2018-04-02,512010,185567,0.4217,0.4824,11213.59
2018-03-01,2018-05-02,510660,42878,1.825,2.01,7883.1
2018-02-01,2018-06-01,510230,46660,1.4688,1.2179,-11744.6
2018-04-02,2018-06-01,510170,174977,0.4608,0.4345,-4648.89
2017-04-05,2018-08-01,510160,125339,0.565,0.544,-2673.82
2018-04-02,2018-08-01,512800,161388,0.4996,0.4749,-4033.47
2017-01-03,2018-11-01,510810,79548,0.986,0.783,-16190.46
2018-08-01,2018-12-03,513100,155371,0.5089,0.4997,-1476.43
2018-06-01,2019-01-02,159941,192416,0.373,0.355,-3505.51
2017-07-03,2019-02-01,513500,99112,0.772,0.8523,7910.4
2019-02-01,2019-03-01,510810,90534,0.79,0.888,8826.76
2018-11-01,2019-04-01,512800,140505,0.4945,0.5247,4200.29
2018-12-03,2019-04-01,510160,142578,0.493,0.58,12358.39
2019-01-02,2019-05-06,512390,84853,0.826,1.019,16329.66
2017-03-01,2019-06-03,513660,72219,1.0865,1.251,11829.38
2019-04-01,2019-07-01,513050,63569,1.271,1.226,-2908.22
2018-05-02,2019-08-01,513600,28078,2.604,2.638,910.5
2019-05-06,2019-08-01,159941,169626,0.432,0.435,464.76
2017-01-03,2019-09-02,518800,29914,2.622,3.479,25581.55
2018-05-02,2019-09-02,518880,27272,2.681,3.502,22339.73
2019-04-01,2019-09-02,513100,159771,0.5057,0.5544,7730.04
2019-07-01,2019-09-02,513660,56412,1.3343,1.2535,-4601.88
2019-09-02,2019-10-08,510170,257602,0.3955,0.388,-1992.56
2019-09-02,2019-10-08,510230,86494,1.1779,1.1906,1037.02
2019-09-02,2019-10-08,510160,185239,0.55,0.548,-431.5
2019-09-02,2019-10-08,512950,103854,0.981,0.979,-268.77
2019-08-01,2019-11-01,512800,151302,0.5454,0.5559,1538.68
2018-08-01,2019-12-02,510900,66221,1.194,1.183,-775.65
2017-09-01,2020-01-02,513030,62838,1.092,1.114,1340.85
2019-08-01,2020-01-02,512390,79346,1.04,1.102,4868.46
2019-10-08,2020-01-02,512910,97803,1.04,1.118,7565.32
