entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-04-01,510660,80947,1.235,1.5,21384.54
2015-04-01,2015-05-04,513500,20836,0.5824,0.5901,153.11
2015-02-02,2015-10-08,510900,89258,1.12,1.028,-8269.25
2015-02-02,2016-03-01,510230,90152,1.1089,0.9285,-16318.52
2015-02-02,2016-03-01,510170,223097,0.4481,0.3759,-16162.75
2016-03-01,2016-04-01,513030,42490,0.82,0.867,1975.53
2015-02-02,2016-05-03,510160,204856,0.488,0.45,-7842.17
2015-02-02,2016-05-03,159901,53164,1.8804,1.8642,-920.98
2016-04-01,2016-06-01,159939,56949,0.5541,0.5482,-354.83
2015-02-02,2016-07-01,159902,35703,2.8,3.288,17357.86
2015-05-04,2016-08-01,510660,7023,1.73,1.507,-1572.95
2016-07-01,2016-09-01,510230,47163,1.0337,1.1058,3370.18
2016-08-01,2016-09-01,510900,46469,0.967,1.022,2528.07
2015-02-02,2016-10-10,159928,336146,0.2974,0.3663,23093.53
2016-09-01,2016-10-10,510660,33049,1.525,1.526,2.8
2016-06-01,2016-11-01,513030,45909,0.896,0.922,1168.6
2016-10-10,2016-11-01,510230,52808,1.092,1.1026,525.0
2016-11-01,2016-12-01,159939,98032,0.5731,0.58,642.51
2016-11-01,2017-01-03,512070,96749,0.5807,0.5702,-1049.27
2015-02-02,2017-02-03,159905,97058,1.03,1.193,15755.73
2016-10-10,2017-03-01,512010,172087,0.3351,0.345,1668.55
2016-03-01,2017-04-05,518800,13436,2.593,2.776,2437.15
2017-02-03,2017-05-02,513030,56581,1.017,1.084,3755.26
2017-03-01,2017-06-01,510160,102344,0.564,0.56,-443.89
2015-10-08,2017-07-03,513500,34552,0.5819,0.772,6554.3
2017-06-01,2017-08-01,513030,50532,1.115,1.104,-589.49
2017-05-02,2017-09-01,512010,153492,0.3664,0.3815,2283.29
2017-08-01,2017-09-01,510660,32690,1.64,1.684,1405.76
2017-01-03,2017-10-09,510900,48416,1.055,1.237,8778.42
2017-09-01,2017-10-09,513030,54583,1.092,1.144,2801.7
2016-05-03,2017-11-01,513600,26576,1.788,2.51,19153.6
2016-05-03,2017-12-01,513660,53917,0.8813,1.2896,21979.2
2017-09-01,2017-12-01,510230,44742,1.3322,1.3748,1869.67
2017-07-03,2018-01-02,510160,90008,0.593,0.618,2217.5
2017-10-09,2018-01-02,510170,113963,0.5257,0.4898,-4125.99
2017-10-09,2018-01-02,512070,86940,0.6891,0.6992,841.88
2017-12-01,2018-01-02,159901,26042,2.3896,2.4606,1811.09
2015-02-02,2018-02-01,513100,375968,0.2659,0.4518,69811.5
2016-09-01,2018-02-01,159941,190911,0.264,0.363,18864.28
2017-11-01,2018-02-01,513030,46822,1.166,1.176,435.32
2018-01-02,2018-04-02,510900,59243,1.239,1.225,-873.19
2018-02-01,2018-04-02,512070,100200,0.733,0.6313,-10231.35
2018-02-01,2018-06-01,159901,28966,2.5356,2.253,-8227.4
2018-01-02,2018-07-02,510230,54774,1.3401,1.1259,-11773.11
2018-06-01,2018-07-02,510900,46998,1.245,1.14,-4968.42
2018-07-02,2018-08-01,159901,30665,2.0929,2.0659,-866.21
2017-04-05,2018-09-03,159905,43161,1.29,1.379,3806.77
2018-04-02,2018-10-08,513050,44695,1.454,1.228,-10137.03
2016-12-01,2018-12-03,159928,133127,0.3803,0.4768,12812.52
2018-02-01,2018-12-03,510660,39067,1.88,1.628,-9886.0
2018-09-03,2018-12-03,513030,52169,1.109,1.016,-4884.97
2018-12-03,2019-01-02,510230,57650,1.2107,0.9976,-12323.41
2019-01-02,2019-02-01,513030,58652,0.931,0.959,1609.0
2017-12-01,2019-03-01,512010,151049,0.412,0.4123,7.96
2019-02-01,2019-03-01,159928,109184,0.5016,0.5766,8153.48
2018-10-08,2019-04-01,510900,49446,1.164,1.222,2832.47
2018-12-03,2019-04-01,512800,144357,0.4835,0.5247,5903.85
2019-03-01,2019-04-01,513030,62874,0.983,0.982,-99.94
2018-01-02,2019-05-06,513660,52262,1.4045,1.3232,-4291.67
2018-01-02,2019-05-06,513600,28210,2.602,2.627,661.0
2019-04-01,2019-05-06,159939,132031,0.5243,0.457,-8924.55
2018-12-03,2019-06-03,518800,25802,2.705,2.888,4678.47
2019-03-01,2019-06-03,518880,21862,2.827,2.906,1689.5
2019-06-03,2019-07-01,510810,67568,0.917,0.956,2597.19
2019-06-03,2019-07-01,510300,20038,3.092,3.369,5511.69
2018-07-02,2019-08-01,159941,162891,0.394,0.435,6638.02
2018-04-02,2019-09-02,513100,151876,0.4279,0.5544,19167.56
2018-08-01,2019-09-02,513500,63933,0.9021,0.9885,5487.55
2019-09-02,2019-10-08,510810,71908,0.922,0.912,-758.64
2019-09-02,2019-10-08,512200,29937,2.2146,2.247,929.89
2019-05-06,2019-11-01,512800,129991,0.5293,0.5559,3415.44
2019-05-06,2019-12-02,510050,27632,2.49,2.592,2776.34
2019-07-01,2019-12-02,518880,20580,3.05,3.271,4509.15
2019-07-01,2019-12-02,518800,20750,3.025,3.241,4442.99
