entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-06-01,510170,446195,0.4481,0.6394,85211.53
2015-02-02,2015-07-01,159901,106328,1.8804,2.5713,73320.01
2015-07-01,2015-08-03,510170,164589,0.6092,0.4982,-18324.06
2015-08-03,2015-09-01,159901,43550,2.2182,1.8676,-15322.01
2015-09-01,2015-10-08,510660,66294,1.411,1.48,4516.79
2015-02-02,2016-01-04,510230,180304,1.1089,1.1539,7991.28
2015-02-02,2016-01-04,510160,409713,0.488,0.533,18311.59
2015-02-02,2016-02-01,159905,194116,1.03,1.005,-4971.41
2015-10-08,2016-02-01,159901,52127,1.8118,1.7775,-1844.09
2015-06-01,2016-03-01,159902,11116,5.13,2.801,-25915.61
2016-01-04,2016-05-03,510660,94582,1.7,1.355,-32717.47
2016-01-04,2016-05-03,159928,435038,0.3696,0.3293,-17623.25
2016-05-03,2016-08-01,513030,147120,0.905,0.9,-815.27
2016-05-03,2016-08-01,513600,74465,1.788,1.935,10863.19
2016-08-01,2016-09-01,159928,355386,0.3803,0.3724,-2887.8
2016-09-01,2016-10-10,513600,52770,2.038,2.092,2784.2
2016-10-10,2017-01-03,159905,91379,1.183,1.175,-795.67
2016-02-01,2017-02-03,513500,260290,0.5916,0.7354,37326.08
2016-03-01,2017-02-03,518800,38031,2.593,2.671,2906.36
2017-01-03,2017-04-05,513660,107491,1.0042,1.1035,10605.89
2017-02-03,2017-04-05,510900,134557,1.077,1.137,7984.05
2017-02-03,2017-04-05,513600,68037,2.13,2.213,5558.43
2017-04-05,2017-05-02,512010,460455,0.3721,0.3664,-2726.61
2017-04-05,2017-06-01,159928,406779,0.4212,0.4214,-21.47
2017-04-05,2017-06-01,513500,214196,0.7999,0.7776,-4877.94
2017-05-02,2017-06-01,513030,94332,1.084,1.115,2862.06
2016-02-01,2017-07-03,513100,535424,0.2876,0.3933,56484.95
2016-08-01,2017-07-03,159941,521827,0.259,0.315,29132.45
2017-06-01,2017-07-03,510900,148159,1.15,1.129,-3212.64
2017-06-01,2017-08-01,513600,73631,2.314,2.425,8068.36
2017-07-03,2017-08-01,512010,443108,0.3984,0.3909,-3428.23
2017-06-01,2017-09-01,513660,147684,1.1537,1.2269,10705.0
