entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-03-02,510160,409713,0.488,0.516,11348.56
2015-02-02,2015-03-02,513500,354755,0.5636,0.5946,10874.14
2015-02-02,2015-03-02,513100,751936,0.2659,0.2839,13410.82
2015-02-02,2015-04-01,510230,180304,1.1089,1.268,28557.8
2015-02-02,2015-04-01,510900,178517,1.12,1.25,23080.28
2015-03-02,2015-04-01,510170,274194,0.4635,0.5231,16260.81
2015-03-02,2015-04-01,510660,99677,1.275,1.5,22344.34
2015-04-01,2015-05-04,513660,201463,0.9912,1.0935,20483.67
2015-03-02,2015-06-01,518800,51557,2.465,2.355,-5745.82
2015-04-01,2015-06-01,513500,342874,0.5824,0.5946,4061.99
2015-04-01,2015-06-01,513100,715735,0.279,0.2872,5747.45
2015-04-01,2015-06-01,513030,195774,1.02,1.0,-4034.12
2015-05-04,2015-06-01,159902,20556,4.085,5.13,21424.19
2015-06-01,2015-07-01,510230,174040,1.3416,1.3363,-1062.23
2015-06-01,2015-07-01,513660,215498,1.0835,1.0744,-2100.54
2015-06-01,2015-07-01,510160,311739,0.749,0.72,-9177.81
2015-06-01,2015-07-01,513600,106133,2.2,2.097,-11068.52
2015-07-01,2015-08-03,159902,42971,4.238,3.755,-20858.03
2015-07-01,2015-08-03,510660,100838,1.806,1.578,-23093.43
2015-07-01,2015-08-03,159901,70825,2.5713,2.2182,-25110.07
2015-06-01,2015-09-01,510900,176754,1.321,0.983,-59865.02
2015-08-03,2015-09-01,510230,119157,1.1068,0.9675,-16672.72
2015-08-03,2015-10-08,510170,264719,0.4982,0.4126,-22732.28
2015-09-01,2015-10-08,159901,59180,1.8676,1.8118,-3367.57
2015-07-01,2015-11-02,159939,234622,0.7762,0.6005,-41319.99
2015-08-03,2015-11-02,159905,114184,1.155,1.032,-14119.55
2015-09-01,2015-11-02,159902,34855,3.171,3.6,14881.99
2015-10-08,2015-11-02,513030,129220,0.848,0.892,5618.23
2015-10-08,2015-11-02,159928,322764,0.3395,0.3423,837.72
2015-11-02,2015-12-01,510160,356099,0.527,0.525,-824.58
2015-11-02,2015-12-01,513660,204338,0.9184,0.927,1644.18
2015-11-02,2016-01-04,518800,81240,2.31,2.21,-8234.16
2015-12-01,2016-01-04,510660,49331,1.525,1.7,8585.2
2015-12-01,2016-01-04,510170,175076,0.4297,0.4468,2947.76
2015-11-02,2016-02-01,510900,182198,1.03,0.851,-32716.26
2015-11-02,2016-02-01,513600,100894,1.86,1.689,-17360.3
2016-01-04,2016-02-01,510160,212800,0.533,0.419,-24319.98
2016-01-04,2016-02-01,513660,122091,0.929,0.8417,-10723.4
2016-02-01,2016-03-01,510660,116328,1.279,1.26,-2298.84
2016-02-01,2016-03-01,510170,431885,0.3445,0.3759,13467.85
2016-01-04,2016-04-01,512070,178225,0.6364,0.5489,-15658.06
2016-02-01,2016-04-01,159939,294739,0.5048,0.5541,14437.0
2016-02-01,2016-04-01,159902,50710,2.934,3.2,13395.54
2016-03-01,2016-04-01,159901,54147,1.6899,1.8995,11290.9
2016-03-01,2016-04-01,510160,223726,0.409,0.457,10680.72
2016-04-01,2016-05-03,518800,70990,2.543,2.678,9472.46
2016-04-01,2016-05-03,513500,292118,0.618,0.6292,3162.42
2016-04-01,2016-05-03,159941,758526,0.238,0.238,-108.32
2016-04-01,2016-05-03,513100,601564,0.3001,0.2942,-3656.48
2016-04-01,2016-05-03,513600,103396,1.746,1.788,4233.01
2016-05-03,2016-06-01,159939,340110,0.5385,0.5482,3188.19
2016-05-03,2016-06-01,512070,346479,0.5286,0.5438,5155.01
2016-05-03,2016-06-01,159902,58626,3.124,3.162,2117.23
2016-05-03,2016-06-01,159901,98245,1.8642,1.8681,273.15
2016-05-03,2016-07-01,510660,135165,1.355,1.395,5295.09
2016-06-01,2016-07-01,510170,392983,0.3783,0.3885,3918.02
2016-06-01,2016-07-01,518800,58186,2.555,2.816,15092.79
2016-06-01,2016-07-01,510900,165184,0.9,0.932,5195.1
2016-06-01,2016-07-01,510160,331842,0.448,0.442,-2079.65
2016-07-01,2016-08-01,513030,221834,0.86,0.9,8756.23
2016-07-01,2016-08-01,513100,631715,0.302,0.3405,24199.26
2016-07-01,2016-08-01,159941,778685,0.245,0.259,10783.85
2016-07-01,2016-08-01,513500,290997,0.6556,0.7217,19114.66
2016-07-01,2016-08-01,513600,104765,1.821,1.935,11825.16
2016-08-01,2016-09-01,159939,366421,0.5614,0.5736,4345.57
2016-08-01,2016-09-01,159902,63726,3.228,3.347,7457.69
2016-08-01,2016-09-01,512070,379187,0.5425,0.5742,11893.2
2016-08-01,2016-09-01,159901,106923,1.9239,2.0238,10554.98
2016-08-01,2016-10-10,518800,71951,2.859,2.707,-11056.7
2016-09-01,2016-10-10,513500,240044,0.7141,0.7364,5248.53
2016-09-01,2016-10-10,159941,649302,0.264,0.27,3791.79
2016-09-01,2016-10-10,159928,460300,0.3724,0.3663,-2909.84
2016-09-01,2016-11-01,510170,420343,0.4078,0.4107,1115.78
2016-10-10,2016-11-01,159949,192705,0.92,0.923,471.57
2016-10-10,2016-11-01,510160,380449,0.466,0.495,10923.34
2016-10-10,2016-11-01,510810,178180,0.995,1.003,1318.64
2016-10-10,2016-11-01,159902,54117,3.276,3.311,1787.15
2016-11-01,2016-12-01,513100,632945,0.3392,0.3486,5819.08
2016-11-01,2016-12-01,513600,104933,2.046,2.098,5326.06
2016-11-01,2016-12-01,510900,205843,1.043,1.095,10571.81
2016-11-01,2017-01-03,518800,77423,2.773,2.622,-11816.18
2016-11-01,2017-01-03,513660,207074,1.0368,1.0042,-6877.4
2016-12-01,2017-01-03,513030,146008,0.912,0.983,10283.56
2016-12-01,2017-01-03,159902,40180,3.314,3.118,-7952.81
2016-12-01,2017-01-03,510660,85743,1.553,1.5,-4622.91
2017-01-03,2017-02-03,159905,182843,1.175,1.193,3161.28
2017-01-03,2017-02-03,159901,111212,1.9318,1.9435,1171.89
2017-01-03,2017-02-03,512070,376782,0.5702,0.5742,1377.77
2017-01-03,2017-03-01,159939,405207,0.5302,0.5321,640.76
2017-02-03,2017-03-01,513500,176838,0.7354,0.7695,5950.34
2017-02-03,2017-03-01,159902,42624,3.051,3.181,5461.43
2017-02-03,2017-03-01,159941,411540,0.316,0.325,3624.72
2017-03-01,2017-04-05,510230,154706,1.1386,1.1179,-3307.14
2017-03-01,2017-04-05,513030,176325,0.999,1.054,9589.28
2017-03-01,2017-04-05,512010,510577,0.345,0.3721,13726.8
2017-03-01,2017-05-02,512070,304756,0.578,0.5614,-5163.12
2017-04-05,2017-05-02,513500,181172,0.7999,0.7913,-1644.56
2017-04-05,2017-05-02,510170,342844,0.4227,0.4198,-1080.9
2017-04-05,2017-06-01,510810,146532,0.989,0.971,-2723.74
2017-05-02,2017-06-01,510900,132614,1.128,1.15,2826.88
2017-01-03,2017-07-03,159949,263932,0.814,0.732,-21764.84
2017-05-02,2017-07-03,159939,285856,0.5233,0.5258,624.67
2017-05-02,2017-07-03,159902,47114,3.175,3.338,7587.53
2017-06-01,2017-07-03,510170,301034,0.3945,0.4191,7331.96
2017-06-01,2017-08-01,518800,42873,2.77,2.732,-1699.94
2017-07-03,2017-08-01,159941,624019,0.315,0.324,5496.55
2017-07-03,2017-08-01,513100,499786,0.3933,0.4051,5777.77
2017-07-03,2017-08-01,510900,174106,1.129,1.192,10847.45
2017-07-03,2017-08-01,513030,178210,1.103,1.104,60.22
2017-08-01,2017-09-01,159949,326656,0.687,0.747,19458.83
2017-08-01,2017-09-01,510660,136837,1.64,1.684,5884.37
2017-08-01,2017-09-01,159939,437793,0.5126,0.5438,13520.4
2017-08-01,2017-09-01,512010,574092,0.3909,0.3815,-5529.49
2017-08-01,2017-09-01,159928,493649,0.4546,0.4768,10821.07
2017-09-01,2017-10-09,513050,165185,1.412,1.488,12410.35
2017-09-01,2017-10-09,513500,305769,0.7628,0.7933,9183.21
2017-09-01,2017-10-09,513100,576901,0.4043,0.4113,3897.15
2017-09-01,2017-10-09,513030,213590,1.092,1.144,10963.4
2017-09-01,2017-10-09,159941,722109,0.323,0.328,3469.52
2017-10-09,2017-11-01,512070,350056,0.6891,0.6992,3389.77
2017-10-09,2017-11-01,510230,182165,1.3242,1.3392,2586.92
2017-10-09,2017-11-01,510900,195006,1.237,1.251,2584.53
2017-10-09,2017-11-01,510160,394801,0.611,0.622,4196.77
2017-10-09,2017-12-01,512800,470955,0.5122,0.5157,1503.11
2017-11-01,2017-12-01,510170,394133,0.4961,0.4869,-3742.25
2017-11-01,2017-12-01,518800,72151,2.71,2.71,-117.32
2017-11-01,2017-12-01,513050,132742,1.473,1.498,3200.24
2017-11-01,2018-01-02,512400,199316,0.981,0.945,-7290.54
2017-12-01,2018-01-02,512010,497178,0.412,0.4399,13744.2
2017-12-01,2018-02-01,510810,207115,0.989,0.997,1533.52
2018-01-02,2018-02-01,512070,174959,0.6992,0.733,5838.44
2018-01-02,2018-02-01,510230,91285,1.3401,1.4688,11671.46
2017-12-01,2018-03-01,159949,297296,0.689,0.669,-6067.04
2017-12-01,2018-03-01,159939,379398,0.5399,0.5199,-7708.59
2018-02-01,2018-03-01,512100,79084,2.113,2.031,-6583.21
2018-02-01,2018-03-01,159902,46756,3.574,3.585,413.9
