entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-03-02,510160,409713,0.488,0.516,11348.56
2015-02-02,2015-04-01,159905,194116,1.03,1.24,40632.17
2015-02-02,2015-04-01,510170,446195,0.4481,0.5231,33334.62
2015-02-02,2015-05-04,510230,180304,1.1089,1.4185,55685.41
2015-04-01,2015-07-01,513500,220760,0.5824,0.5804,-518.53
2015-02-02,2015-08-03,510900,178517,1.12,1.08,-7258.5
2015-03-02,2015-08-03,513100,148846,0.2839,0.2991,2236.43
2015-04-01,2015-09-01,518800,54386,2.364,2.333,-1762.6
2015-05-04,2015-09-01,159902,31398,4.085,3.171,-28766.12
2015-07-01,2015-11-02,510160,178087,0.72,0.527,-34437.41
2015-08-03,2016-01-04,159905,129881,1.155,1.235,10297.36
2015-08-03,2016-01-04,510170,301111,0.4982,0.4468,-15562.47
2015-09-01,2016-03-01,510660,95868,1.411,1.26,-14552.89
2016-03-01,2016-06-01,159939,220152,0.4882,0.5482,13140.67
2015-11-02,2016-08-01,159902,27755,3.6,3.228,-10381.71
2016-01-04,2016-08-01,159928,375785,0.3696,0.3803,3936.36
2015-09-01,2016-09-01,510900,137609,0.983,1.022,5283.98
2016-08-01,2016-09-01,513660,140972,0.9545,1.0012,6500.68
2016-06-01,2016-12-01,513600,60865,1.809,2.098,17518.65
2016-09-01,2016-12-01,159928,368036,0.3724,0.3803,2824.38
2016-09-01,2017-01-03,159905,114500,1.197,1.175,-2600.48
2016-01-04,2017-04-05,518800,62846,2.21,2.776,35476.83
2016-08-01,2017-04-05,513030,149508,0.9,1.054,22936.59
2017-01-03,2017-05-02,159941,354025,0.306,0.342,12676.08
2017-05-02,2017-06-01,510160,207180,0.56,0.56,-69.61
2016-12-01,2017-07-03,513500,160309,0.8467,0.772,-12052.93
2017-06-01,2017-07-03,159901,57781,2.0077,2.1913,10535.8
2017-04-05,2017-08-01,512010,411270,0.3721,0.3909,7637.74
2016-12-01,2017-09-01,513100,389368,0.3486,0.4043,21599.85
2017-04-05,2017-09-01,510900,134594,1.137,1.214,10268.81
2017-08-01,2017-09-01,518800,43134,2.732,2.779,1955.98
2017-07-03,2017-10-09,510230,117592,1.2148,1.3242,12774.99
2017-07-03,2017-10-09,513660,124088,1.1512,1.2319,9925.19
2017-10-09,2017-11-01,510170,256083,0.5257,0.4961,-7658.56
2017-09-01,2017-12-01,510160,293656,0.621,0.625,1064.86
2017-09-01,2018-01-02,159949,244124,0.747,0.674,-17925.12
2017-11-01,2018-03-01,512010,245246,0.4329,0.4217,-2809.63
2017-10-09,2018-04-02,159905,87361,1.541,1.656,9962.73
2017-12-01,2018-05-02,513600,47047,2.585,2.604,820.65
2017-09-01,2018-06-01,159928,382467,0.4768,0.6285,57893.42
2018-01-02,2018-06-01,510230,97144,1.3401,1.2179,-11945.55
2018-05-02,2018-07-02,159939,241166,0.5287,0.4584,-17025.39
2018-07-02,2018-08-01,510230,112191,1.1259,1.1961,7797.66
2018-06-01,2018-09-03,513660,134640,1.2901,1.2756,-2055.91
2018-06-01,2018-09-03,510660,77892,2.23,1.794,-34054.94
2018-03-01,2018-11-01,159949,186575,0.669,0.46,-39057.37
2018-09-03,2018-12-03,159941,380046,0.433,0.395,-14536.15
